row_id,dataset,molecule_index,component_split,parent_atoms,maskable_atom_fraction,mask_id,mask_atoms,mask_size,valid_unique_mutants,local_supported_mutants,absolute_in_domain_mutants,covered,failure
CHEMBL1862_Ki:60,CHEMBL1862_Ki,60,test,29,0.6896551724137931,8,"[8, 9, 10, 11, 12, 13]",6,8,8,8,True,
CHEMBL1862_Ki:60,CHEMBL1862_Ki,60,test,29,0.6896551724137931,9,"[21, 22, 23, 24, 25, 26]",6,8,8,5,True,
CHEMBL1862_Ki:616,CHEMBL1862_Ki,616,calibration,31,0.6774193548387096,0,[0],1,8,8,8,True,
CHEMBL1862_Ki:616,CHEMBL1862_Ki,616,calibration,31,0.6774193548387096,1,[5],1,7,7,7,True,
CHEMBL1862_Ki:616,CHEMBL1862_Ki,616,calibration,31,0.6774193548387096,2,[21],1,8,8,8,True,
CHEMBL1862_Ki:616,CHEMBL1862_Ki,616,calibration,31,0.6774193548387096,3,"[6, 7]",2,7,7,7,True,
CHEMBL1862_Ki:616,CHEMBL1862_Ki,616,calibration,31,0.6774193548387096,4,"[22, 23]",2,8,8,8,True,
CHEMBL1862_Ki:616,CHEMBL1862_Ki,616,calibration,31,0.6774193548387096,5,"[24, 25, 26]",3,8,8,8,True,
CHEMBL1862_Ki:616,CHEMBL1862_Ki,616,calibration,31,0.6774193548387096,6,"[8, 9, 10, 11, 12]",5,8,8,8,True,
CHEMBL1862_Ki:616,CHEMBL1862_Ki,616,calibration,31,0.6774193548387096,7,"[1, 2, 3, 4, 13, 14]",6,8,4,1,True,
CHEMBL1862_Ki:664,CHEMBL1862_Ki,664,calibration,31,0.6774193548387096,0,[0],1,8,8,0,True,
CHEMBL1862_Ki:664,CHEMBL1862_Ki,664,calibration,31,0.6774193548387096,1,[21],1,8,8,0,True,
CHEMBL1862_Ki:664,CHEMBL1862_Ki,664,calibration,31,0.6774193548387096,2,"[5, 6]",2,7,7,4,True,
CHEMBL1862_Ki:664,CHEMBL1862_Ki,664,calibration,31,0.6774193548387096,3,"[22, 23]",2,7,7,0,True,
CHEMBL1862_Ki:664,CHEMBL1862_Ki,664,calibration,31,0.6774193548387096,4,"[24, 25, 26]",3,8,8,1,True,
CHEMBL1862_Ki:664,CHEMBL1862_Ki,664,calibration,31,0.6774193548387096,5,"[1, 2, 3, 4, 13, 14]",6,8,4,1,True,
CHEMBL1862_Ki:664,CHEMBL1862_Ki,664,calibration,31,0.6774193548387096,6,"[7, 8, 9, 10, 11, 12]",6,8,8,8,True,
CHEMBL1862_Ki:693,CHEMBL1862_Ki,693,calibration,25,0.6,0,[0],1,8,8,8,True,
CHEMBL1862_Ki:693,CHEMBL1862_Ki,693,calibration,25,0.6,1,[5],1,8,8,8,True,
CHEMBL1862_Ki:693,CHEMBL1862_Ki,693,calibration,25,0.6,2,[14],1,7,7,0,True,
CHEMBL1862_Ki:693,CHEMBL1862_Ki,693,calibration,25,0.6,3,[24],1,1,1,1,True,
CHEMBL1862_Ki:693,CHEMBL1862_Ki,693,calibration,25,0.6,4,"[15, 16]",2,8,8,2,True,
CHEMBL1862_Ki:693,CHEMBL1862_Ki,693,calibration,25,0.6,5,"[17, 18, 19]",3,8,8,0,True,
CHEMBL1862_Ki:693,CHEMBL1862_Ki,693,calibration,25,0.6,6,"[1, 2, 3, 4, 6, 7]",6,8,5,4,True,
CHEMBL1862_Ki:709,CHEMBL1862_Ki,709,test,30,0.6666666666666666,0,[0],1,8,8,0,True,
CHEMBL1862_Ki:709,CHEMBL1862_Ki,709,test,30,0.6666666666666666,1,[5],1,8,8,0,True,
