dataset,component_id,atoms,positive_atoms,prevalence,replicates,mean_random_ap,median_random_ap,random_ap_ci95_low,random_ap_ci95_high,mean_random_nap,median_random_nap,random_nap_ci95_low,random_nap_ci95_high
CHEMBL204_Ki,73,67,19,0.2835820895522388,100,0.31019814889937464,0.3029748074560704,0.23079230327902153,0.40164164933761787,0.037151582838710465,0.027069002074098306,-0.07368574333969909,0.16479146886709162
CHEMBL204_Ki,81,68,19,0.27941176470588236,100,0.3079730390040336,0.3006988052721299,0.23220880665413535,0.42125851043071916,0.03963605412804667,0.029541199153159836,-0.06550614586773056,0.19684854508752866
CHEMBL204_Ki,82,79,19,0.24050632911392406,100,0.2807175875809781,0.2687479605678526,0.19560088388216687,0.41886309829845697,0.05294482364828781,0.03718481474767259,-0.0591255028884803,0.23483641275963496
CHEMBL204_Ki,83,65,20,0.3076923076923077,100,0.3610249821495463,0.3472507000733679,0.2520403064726295,0.5016948889994822,0.0770360853271224,0.05713990010597582,-0.0803862239839797,0.2802259507770299
CHEMBL204_Ki,84,61,4,0.06557377049180328,100,0.12315365341925405,0.09749484329608962,0.053164269308580946,0.3657658010012515,0.06162057646621925,0.03416114808879766,-0.013280343371518642,0.32125813791362
CHEMBL204_Ki,93,78,12,0.15384615384615385,100,0.1956782053716944,0.18219524856971475,0.12563589306515907,0.36663024891861185,0.049437879075638784,0.033503475582390134,-0.03333939910481202,0.2514721123583594
CHEMBL204_Ki,98,78,16,0.20512820512820512,100,0.2447086373519519,0.22795523800660844,0.1675082083863057,0.3873868262021276,0.049794737313745945,0.028717880072829965,-0.04732838299787345,0.22929310393170893
CHEMBL204_Ki,104,91,17,0.18681318681318682,100,0.22678402005080564,0.22361309427928971,0.1548316753814829,0.3213299339085792,0.04915332195436906,0.0452539402623698,-0.03932861540925753,0.1654192430497393
CHEMBL204_Ki,106,65,19,0.2923076923076923,100,0.32265870625700865,0.305058740304774,0.25182781791929404,0.4612243262854383,0.04288730231968601,0.018017785213267596,-0.057199822505345395,0.23868654801203237
CHEMBL204_Ki,108,66,13,0.19696969696969696,100,0.24118122884257814,0.22848409926519997,0.1547584859120596,0.3874407745166505,0.05505586987943694,0.03924435002836224,-0.05256490433592578,0.23719039845469683
CHEMBL204_Ki,110,62,10,0.16129032258064516,100,0.21354540155408924,0.20337354185830114,0.1276388375505706,0.3838535964972058,0.062304132622183366,0.050176146061820595,-0.04012292445893506,0.2653639035158992
CHEMBL204_Ki,116,68,17,0.25,100,0.29217406193183243,0.28442823434126707,0.19601755786494307,0.4653536994919528,0.056232082575776554,0.04590431245502273,-0.07197658951340923,0.2871382659892704
CHEMBL204_Ki,117,49,7,0.14285714285714285,100,0.20882952042626277,0.18802325564092914,0.10381749131700882,0.39307357898771716,0.0769677738306399,0.05269379824775069,-0.04554626013015636,0.29191917548567
CHEMBL204_Ki,124,62,8,0.12903225806451613,100,0.19553015928768086,0.17049451033826035,0.09251143581235469,0.4315163591953258,0.07634944214511508,0.04760480816615076,-0.04193131443766683,0.34729656055759633
CHEMBL204_Ki,133,71,11,0.15492957746478872,100,0.19402181431182622,0.18717090741560355,0.12066082355340262,0.32450317832987435,0.04625914693566109,0.03815224044179755,-0.04055135879514022,0.20066209435701798
CHEMBL204_Ki,134,52,6,0.11538461538461539,100,0.19281300663265516,0.16728689678608852,0.08909107030238748,0.4063751858045336,0.08752774662821877,0.05867214419296962,-0.029723137919040243,0.32894586221382055
CHEMBL204_Ki,142,71,11,0.15492957746478872,100,0.21335463280854305,0.18621222822086353,0.11874695158864174,0.3991345032785829,0.06913631549010932,0.03701780339468853,-0.04281610728677392,0.28897582887965645
