dataset,representation,predictor,explainer,components,trained_ap,permuted_ap,trained_nap,permuted_nap,prevalence,median_delta_ap,median_delta_nap,ci90_low,ci90_high,ci95_low,ci95_high
CHEMBL287_Ki,unimol,mlp,crem_lime,26,0.43160360690794974,0.45370214495150407,0.09443386015617708,0.13130042450301785,0.34340456890198967,0.00993397495899459,0.02144706464535158,-0.07410529372809675,0.0781990689472184,-0.10205678192321337,0.10040081446047536
CHEMBL287_Ki,unimol,mlp,crem_mean,26,0.4682964300061292,0.496553348510529,0.0757708588089195,0.1277458418808361,0.34340456890198967,-0.01605400305703819,-0.026740039228536232,-0.050911866281257157,0.0,-0.05830849674394602,0.002056558234250901
CHEMBL287_Ki,unimol,xgboost,crem_lime,26,0.39970312259711355,0.4692383494236761,0.09392523041620304,0.16430540591198645,0.34340456890198967,-0.02647665672440236,-0.04683507250865422,-0.16629838794610574,0.012738974867809005,-0.18399429805010853,0.025541197953569343
CHEMBL287_Ki,unimol,xgboost,crem_mean,26,0.47606463030288876,0.4929888686883211,0.1091551298046829,0.18248885698862138,0.34340456890198967,0.00016677766677769545,0.0002188956876457704,-0.04287246932486054,0.02058743223121328,-0.06381808728356031,0.030643315481223198
CHEMBL2971_Ki,molformer,mlp,crem_lime,11,0.3690996415061774,0.5351097292996158,0.047285233772474095,0.1625252677255112,0.2631578947368421,-0.10126424666612088,-0.17212002286672543,-0.2731740230609009,-0.07542031613396914,-0.2731740230609009,-0.07542031613396914
CHEMBL2971_Ki,molformer,mlp,crem_mean,11,0.44738461538461544,0.5361639350745268,0.06526545536427976,0.24240109395506035,0.2631578947368421,-0.04497899350820424,-0.051404564009376257,-0.19839166457397073,0.0,-0.19839166457397073,0.0
CHEMBL2971_Ki,molformer,xgboost,crem_lime,11,0.37696836495494085,0.43296749003192286,0.10980350767328306,0.08924647624733406,0.2631578947368421,-0.052552279617070874,-0.0713209509088818,-0.12465658873948873,0.020557031425949,-0.12465658873948873,0.020557031425949
CHEMBL2971_Ki,molformer,xgboost,crem_mean,11,0.5410226831107408,0.533758565007081,0.2503370490808766,0.25854582610382754,0.2631578947368421,-0.00661871640512357,-0.02231953055976027,-0.08311589655833633,0.03303426885509003,-0.08311589655833633,0.03303426885509003
CHEMBL2971_Ki,morgan,mlp,crem_lime,11,0.3395653224051271,0.4667891886401478,0.09591056996405994,0.19251546790890947,0.2631578947368421,-0.07513714284599415,-0.09660489794484953,-0.2604034217237191,-0.0019996489497007344,-0.2604034217237191,0.01608631798198515
CHEMBL2971_Ki,morgan,mlp,crem_mean,11,0.5819264160513704,0.4939566229692862,0.2731618173597184,0.17346248418316745,0.2631578947368421,0.0,0.0,-0.050811691192774344,0.08568783068783101,-0.050811691192774344,0.08568783068783101
