dataset,component_id,baseline,average_precision,prevalence,normalized_ap_lift
CHEMBL218_EC50,36,inverse_mask_size,0.33134920634920634,0.19444444444444445,0.16995073891625614
CHEMBL218_EC50,47,support_any,0.36435676392572947,0.3448275862068966,0.02980769230769231
CHEMBL218_EC50,47,mask_membership_count,0.3448275862068966,0.3448275862068966,0.0
CHEMBL218_EC50,47,valid_mutant_count,0.3073278764658075,0.3448275862068966,-0.05723639907850438
CHEMBL218_EC50,47,local_supported_mutant_count,0.39508903977995646,0.3448275862068966,0.07671485019045983
CHEMBL218_EC50,47,absolute_in_domain_mutant_count,0.40280442737339284,0.3448275862068966,0.08849096809623114
CHEMBL218_EC50,47,local_support_fraction,0.4255106100795756,0.3448275862068966,0.12314777327935217
CHEMBL218_EC50,47,selected_mutant_count,0.4306325612990878,0.3448275862068966,0.13096548829860763
CHEMBL218_EC50,47,selected_mean_parent_tanimoto,0.34243968252156054,0.3448275862068966,-0.0036446950986707897
CHEMBL218_EC50,47,selected_mean_nearest_train_tanimoto,0.5430251788441444,0.3448275862068966,0.30251211507790454
CHEMBL218_EC50,47,inverse_mask_size,0.3313793103448276,0.3448275862068966,-0.02052631578947371
CHEMBL218_EC50,49,support_any,0.6074805339265851,0.5344827586206896,0.15681003584229394
CHEMBL218_EC50,49,mask_membership_count,0.6074805339265851,0.5344827586206896,0.15681003584229394
CHEMBL218_EC50,49,valid_mutant_count,0.5623670908852973,0.5344827586206896,0.059899676716564765
CHEMBL218_EC50,49,local_supported_mutant_count,0.5623670908852973,0.5344827586206896,0.059899676716564765
CHEMBL218_EC50,49,absolute_in_domain_mutant_count,0.5389584831186611,0.5344827586206896,0.009614519291938801
CHEMBL218_EC50,49,local_support_fraction,0.5669207616305699,0.5344827586206896,0.06968163609529844
CHEMBL218_EC50,49,selected_mutant_count,0.5517997938886344,0.5344827586206896,0.03719955724225182
CHEMBL218_EC50,49,selected_mean_parent_tanimoto,0.587147339484732,0.5344827586206896,0.11313132185609097
CHEMBL218_EC50,49,selected_mean_nearest_train_tanimoto,0.5983426244915618,0.5344827586206896,0.13718045261150327
