representation,predictor,explainer,control,seed,row_id,dataset,predictive_test_r2,average_precision,prevalence,normalized_ap_lift,supported_atom_fraction,rationale_supported_fraction,mean_randomized_nap,randomized_nap_sd,randomization_replicates,randomization_calibrated_nap
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:1859,CHEMBL234_Ki,0.975134853316404,0.1638888888888889,0.0909090909090909,0.0802777777777777,0.7878787878787878,1.0,-0.003167471819645733,0.005486222123169053,3,0.08344524959742343
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:1864,CHEMBL234_Ki,0.975134853316404,0.1578282828282828,0.0857142857142857,0.0788746843434343,0.7714285714285715,1.0,0.14519222040668117,0.24350556307480556,3,-0.06631753606324688
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:1883,CHEMBL234_Ki,0.975134853316404,0.2132936507936507,0.088235294117647,0.1371607782898105,1.0,1.0,-0.008703005477199027,0.015074047665058937,3,0.1458637837670095
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:1907,CHEMBL234_Ki,0.975134853316404,1.0,0.0333333333333333,1.0,1.0,1.0,0.0034982508745627183,0.006059148252364887,3,0.9965017491254373
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:1957,CHEMBL234_Ki,0.975134853316404,0.1483333333333333,0.0909090909090909,0.0631666666666666,1.0,1.0,0.01627865961199295,0.022093120409102118,3,0.04688800705467364
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2034,CHEMBL234_Ki,0.975134853316404,1.0,0.0454545454545454,1.0,0.3181818181818182,1.0,0.3333333333333333,0.5773502691896258,3,0.6666666666666667
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2080,CHEMBL234_Ki,0.975134853316404,0.1428571428571428,0.0416666666666666,0.1055900621118012,0.5833333333333334,1.0,0.37888198757763975,0.539193401595297,3,-0.2732919254658385
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2098,CHEMBL234_Ki,0.975134853316404,1.0,0.0833333333333333,1.0,0.75,1.0,0.012626262626262626,0.021869328378394916,3,0.9873737373737373
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2117,CHEMBL234_Ki,0.975134853316404,1.0,0.08,1.0,0.72,1.0,0.18236714975845414,0.31586916901316486,3,0.8176328502415459
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2222,CHEMBL234_Ki,0.975134853316404,1.0,0.0294117647058823,1.0,1.0,1.0,0.028058361391694722,0.048598507507544256,3,0.9719416386083053
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2223,CHEMBL234_Ki,0.975134853316404,0.5,0.0277777777777777,0.4857142857142857,1.0,1.0,0.19047619047619047,0.2592506207393562,3,0.29523809523809524
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2242,CHEMBL234_Ki,0.975134853316404,0.1428571428571428,0.0333333333333333,0.1133004926108374,0.4666666666666667,1.0,0.1986863711001642,0.2524520402900126,3,-0.08538587848932681
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2258,CHEMBL234_Ki,0.975134853316404,1.0,0.0384615384615384,1.0,0.6538461538461539,1.0,0.16,0.2771281292110204,3,0.84
