dataset,row_id,representation,predictor,seed,label_permuted,trained,trained_minus_permuted_r2
CHEMBL1862_Ki,CHEMBL1862_Ki:431,morgan,xgboost,11,0.9174649093926848,0.9536943349730852,0.03622942558040043
CHEMBL1862_Ki,CHEMBL1862_Ki:431,morgan,xgboost,23,0.949410659312052,0.9495180777595744,0.00010741844752237828
CHEMBL1862_Ki,CHEMBL1862_Ki:431,morgan,xgboost,42,0.8644744129902877,0.9446459008545216,0.08017148786423389
CHEMBL1862_Ki,CHEMBL1862_Ki:431,unimol,mlp,11,0.925727313413487,0.9034307958898508,-0.02229651752363626
CHEMBL1862_Ki,CHEMBL1862_Ki:431,unimol,mlp,23,0.9313643791386096,0.9048993143474752,-0.02646506479113442
CHEMBL1862_Ki,CHEMBL1862_Ki:431,unimol,mlp,42,0.9278289775927884,0.9115229797299376,-0.016305997862850807
CHEMBL1862_Ki,CHEMBL1862_Ki:431,unimol,xgboost,11,0.9142637755607472,0.9338131250379448,0.019549349477197553
CHEMBL1862_Ki,CHEMBL1862_Ki:431,unimol,xgboost,23,0.9133914496834326,0.9250714719307168,0.01168002224728426
CHEMBL1862_Ki,CHEMBL1862_Ki:431,unimol,xgboost,42,0.9130852901239092,0.920479500944852,0.007394210820942826
CHEMBL1862_Ki,CHEMBL1862_Ki:456,molformer,mlp,11,0.9617687083324954,0.9421069250654672,-0.019661783267028166
CHEMBL1862_Ki,CHEMBL1862_Ki:456,molformer,mlp,23,0.9468004359871012,0.9392366750781908,-0.007563760908910422
CHEMBL1862_Ki,CHEMBL1862_Ki:456,molformer,mlp,42,0.936824001541682,0.9442533395295074,0.007429337987825413
CHEMBL1862_Ki,CHEMBL1862_Ki:456,molformer,xgboost,11,0.9465380044579148,0.9417876946122788,-0.004750309845635958
CHEMBL1862_Ki,CHEMBL1862_Ki:456,molformer,xgboost,23,0.9298387623076656,0.9430082405655652,0.013169478257899603
CHEMBL1862_Ki,CHEMBL1862_Ki:456,molformer,xgboost,42,0.9387153487610828,0.9398393967843192,0.0011240480232364014
CHEMBL1862_Ki,CHEMBL1862_Ki:456,morgan,mlp,11,0.9364565589320364,0.9473015623892542,0.010845003457217839
CHEMBL1862_Ki,CHEMBL1862_Ki:456,morgan,mlp,23,0.9335821043471154,0.949321491227494,0.01573938688037857
CHEMBL1862_Ki,CHEMBL1862_Ki:456,morgan,mlp,42,0.9286111351323167,0.9507179240575736,0.02210678892525686
CHEMBL1862_Ki,CHEMBL1862_Ki:456,morgan,xgboost,11,0.9149452174806983,0.9623264452045368,0.04738122772383846
CHEMBL1862_Ki,CHEMBL1862_Ki:456,morgan,xgboost,23,0.9797588360968518,0.9657135901440602,-0.014045245952791552
CHEMBL1862_Ki,CHEMBL1862_Ki:456,morgan,xgboost,42,0.9448407466157576,0.9621636701213602,0.017322923505602605
CHEMBL1862_Ki,CHEMBL1862_Ki:456,unimol,mlp,11,0.942578889750722,0.9170175340845104,-0.02556135566621165
CHEMBL1862_Ki,CHEMBL1862_Ki:456,unimol,mlp,23,0.9390948615335952,0.912771906216776,-0.026322955316819274
CHEMBL1862_Ki,CHEMBL1862_Ki:456,unimol,mlp,42,0.9381129017475348,0.92642823912714,-0.011684662620394803
CHEMBL1862_Ki,CHEMBL1862_Ki:456,unimol,xgboost,11,0.9084958849996874,0.9159477650714146,0.007451880071727257
CHEMBL1862_Ki,CHEMBL1862_Ki:456,unimol,xgboost,23,0.9454872671906877,0.9152739612278404,-0.030213305962847214
CHEMBL1862_Ki,CHEMBL1862_Ki:456,unimol,xgboost,42,0.921545898061028,0.8979969066672457,-0.023548991393782304
CHEMBL1862_Ki,CHEMBL1862_Ki:477,molformer,mlp,11,0.9401410312941773,0.9024977675120884,-0.03764326378208882
CHEMBL1862_Ki,CHEMBL1862_Ki:477,molformer,mlp,23,0.8862453062649042,0.8998210921497292,0.013575785884824998
CHEMBL1862_Ki,CHEMBL1862_Ki:477,molformer,mlp,42,0.927229611004835,0.8875235578080097,-0.0397060531968253
CHEMBL1862_Ki,CHEMBL1862_Ki:477,molformer,xgboost,11,0.890066921187681,0.9395292820953814,0.0494623609077004
CHEMBL1862_Ki,CHEMBL1862_Ki:477,molformer,xgboost,23,0.9109538772179848,0.9223026655839368,0.01134878836595199
CHEMBL1862_Ki,CHEMBL1862_Ki:477,molformer,xgboost,42,0.8964311163587992,0.89700140810626,0.000570291747460705
CHEMBL1862_Ki,CHEMBL1862_Ki:477,morgan,mlp,11,0.9355912353610694,0.9088362638467896,-0.026754971514279746
CHEMBL1862_Ki,CHEMBL1862_Ki:477,morgan,mlp,23,0.8764905741730185,0.9143479842159752,0.03785741004295673
CHEMBL1862_Ki,CHEMBL1862_Ki:477,morgan,mlp,42,0.890875811772843,0.9242792931498726,0.03340348137702953
CHEMBL1862_Ki,CHEMBL1862_Ki:477,morgan,xgboost,11,0.0,0.9636977518927676,0.9636977518927676
CHEMBL1862_Ki,CHEMBL1862_Ki:477,morgan,xgboost,23,0.8935692536253981,0.960156619499709,0.06658736587431091
CHEMBL1862_Ki,CHEMBL1862_Ki:477,morgan,xgboost,42,0.8402900262569595,0.9629912708589752,0.1227012446020157
CHEMBL1862_Ki,CHEMBL1862_Ki:477,unimol,mlp,11,0.9149497719306354,0.8846406116403114,-0.030309160290324044
CHEMBL1862_Ki,CHEMBL1862_Ki:477,unimol,mlp,23,0.9518238903633144,0.8814854808415293,-0.07033840952178505
CHEMBL1862_Ki,CHEMBL1862_Ki:477,unimol,mlp,42,0.8336805622824236,0.8933196665107876,0.05963910422836405
CHEMBL1862_Ki,CHEMBL1862_Ki:477,unimol,xgboost,11,0.9105183611427736,0.8819969053068447,-0.02852145583592891
CHEMBL1862_Ki,CHEMBL1862_Ki:477,unimol,xgboost,23,0.9452820718479716,0.8991203356547564,-0.046161736193215286
CHEMBL1862_Ki,CHEMBL1862_Ki:477,unimol,xgboost,42,0.8702282705271949,0.8805853599041509,0.010357089376956008
CHEMBL1862_Ki,CHEMBL1862_Ki:533,molformer,mlp,11,0.9761496719632808,0.9690673154843032,-0.007082356478977592
CHEMBL1862_Ki,CHEMBL1862_Ki:533,molformer,mlp,23,0.9703371353196598,0.9692947383208552,-0.0010423969988045956
CHEMBL1862_Ki,CHEMBL1862_Ki:533,molformer,mlp,42,0.9730267842369048,0.970956064194696,-0.0020707200422087624
CHEMBL1862_Ki,CHEMBL1862_Ki:533,molformer,xgboost,11,0.9488295166673124,0.9706317292684268,0.021802212601114368
CHEMBL1862_Ki,CHEMBL1862_Ki:533,molformer,xgboost,23,0.9646967807864164,0.966966428376596,0.0022696475901795576
CHEMBL1862_Ki,CHEMBL1862_Ki:533,molformer,xgboost,42,0.9683293676109088,0.9621731743595217,-0.006156193251387165
CHEMBL1862_Ki,CHEMBL1862_Ki:533,morgan,mlp,11,0.9558911342847916,0.9639128075920724,0.008021673307280874
CHEMBL1862_Ki,CHEMBL1862_Ki:533,morgan,mlp,23,0.9699234769036392,0.925511883678436,-0.04441159322520327
CHEMBL1862_Ki,CHEMBL1862_Ki:533,morgan,mlp,42,0.9706697668717704,0.9360182961479204,-0.03465147072385
CHEMBL1862_Ki,CHEMBL1862_Ki:533,morgan,xgboost,11,0.971946468352408,0.979776845948295,0.007830377595886895
CHEMBL1862_Ki,CHEMBL1862_Ki:533,morgan,xgboost,23,0.9651983671113666,0.9806343441455369,0.015435977034170212
