dataset,component_id,representation,predictor,explainer,seed,label_permuted,trained,matched_seed_delta
CHEMBL1862_Ki,19,morgan,mlp,crem_mean,23,0.1218740661048353,0.0779786165527594,-0.0438954495520759
CHEMBL1862_Ki,19,morgan,mlp,crem_mean,42,0.1400968772182932,0.0447750092571063,-0.0953218679611869
CHEMBL1862_Ki,19,morgan,xgboost,crem_lime,11,0.196739752768966,-0.0985617225927412,-0.2953014753617072
CHEMBL1862_Ki,19,morgan,xgboost,crem_lime,23,0.3367598757652659,-0.0728644639992615,-0.4096243397645274
CHEMBL1862_Ki,19,morgan,xgboost,crem_lime,42,0.1094619912632798,-0.0677981184186987,-0.1772601096819785
CHEMBL1862_Ki,19,morgan,xgboost,crem_mean,11,0.0737179487179487,0.1289366197054815,0.0552186709875328
CHEMBL1862_Ki,19,morgan,xgboost,crem_mean,23,0.3278545443877251,0.1262201164375077,-0.2016344279502174
CHEMBL1862_Ki,19,morgan,xgboost,crem_mean,42,0.0,0.0912025196552051,0.0912025196552051
CHEMBL1862_Ki,19,unimol,mlp,crem_lime,11,-0.0010614686588381,0.1988798295489978,0.1999412982078359
CHEMBL1862_Ki,19,unimol,mlp,crem_lime,23,0.4493133001180661,0.0757098845757258,-0.3736034155423403
CHEMBL1862_Ki,19,unimol,mlp,crem_lime,42,0.1972549294851036,0.0521941972218359,-0.14506073226326768
CHEMBL1862_Ki,19,unimol,mlp,crem_mean,11,0.1015366299893154,0.2113234242550099,0.10978679426569452
CHEMBL1862_Ki,19,unimol,mlp,crem_mean,23,0.2566331329489225,0.2079676276299825,-0.04866550531893998
CHEMBL1862_Ki,19,unimol,mlp,crem_mean,42,0.0811098192838389,0.125387138318724,0.044277319034885104
CHEMBL1862_Ki,19,unimol,xgboost,crem_lime,11,0.3932032388714042,0.4658246999913667,0.07262146111996254
CHEMBL1862_Ki,19,unimol,xgboost,crem_lime,23,0.1114660313699262,0.3216195423047138,0.2101535109347876
CHEMBL1862_Ki,19,unimol,xgboost,crem_lime,42,0.6674635544226188,0.4030684663934886,-0.26439508802913025
CHEMBL1862_Ki,19,unimol,xgboost,crem_mean,11,0.3832653457653458,0.4315894803666544,0.04832413460130858
CHEMBL1862_Ki,19,unimol,xgboost,crem_mean,23,0.0827319671069671,0.3762539857021463,0.2935220185951792
CHEMBL1862_Ki,19,unimol,xgboost,crem_mean,42,0.3900264138035876,0.3792962989586539,-0.010730114844933691
CHEMBL1862_Ki,22,molformer,mlp,crem_lime,11,0.4017854836006108,0.2680685414284955,-0.13371694217211527
CHEMBL1862_Ki,22,molformer,mlp,crem_lime,23,0.6399426724117201,0.2271922617587144,-0.41275041065300566
CHEMBL1862_Ki,22,molformer,mlp,crem_lime,42,0.8400531091901315,0.1743946483658816,-0.66565846082425
CHEMBL1862_Ki,22,molformer,mlp,crem_mean,11,0.9424793388429752,0.6756383006383007,-0.26684103820467453
CHEMBL1862_Ki,22,molformer,mlp,crem_mean,23,0.8571155738489833,0.8761983298466552,0.019082755997671952
CHEMBL1862_Ki,22,molformer,mlp,crem_mean,42,0.71818111336652,0.6974036945302805,-0.020777418836239514
CHEMBL1862_Ki,22,molformer,xgboost,crem_lime,11,0.2466167184066113,0.6057967286100278,0.35918001020341644
CHEMBL1862_Ki,22,molformer,xgboost,crem_lime,23,0.1978145138245551,0.5068179293665384,0.3090034155419833
CHEMBL1862_Ki,22,molformer,xgboost,crem_lime,42,0.835898445773306,0.758409732183335,-0.077488713589971
CHEMBL1862_Ki,22,molformer,xgboost,crem_mean,11,0.3852451263269975,0.599619809597997,0.2143746832709995
CHEMBL1862_Ki,22,molformer,xgboost,crem_mean,23,0.1122499096758671,0.4441982891712453,0.33194837949537825
CHEMBL1862_Ki,22,molformer,xgboost,crem_mean,42,0.974491844638679,0.5816375309339,-0.39285431370477897
CHEMBL1862_Ki,22,morgan,mlp,crem_lime,11,0.8375874863193704,-0.0521532707936888,-0.8897407571130592
CHEMBL1862_Ki,22,morgan,mlp,crem_lime,23,0.5868984210730227,-0.0150196460427045,-0.6019180671157272
CHEMBL1862_Ki,22,morgan,mlp,crem_lime,42,0.1491270783521731,0.0257261630156632,-0.12340091533650989
CHEMBL1862_Ki,22,morgan,mlp,crem_mean,11,0.9377783496653964,0.1671949440132686,-0.7705834056521278
CHEMBL1862_Ki,22,morgan,mlp,crem_mean,23,0.4935834957764783,0.2302927352720955,-0.2632907605043828
CHEMBL1862_Ki,22,morgan,mlp,crem_mean,42,0.7523107523107522,0.4666647994797914,-0.2856459528309608
CHEMBL1862_Ki,22,morgan,xgboost,crem_lime,11,-0.0408061908174211,0.3049857842935261,0.34579197511094717
CHEMBL1862_Ki,22,morgan,xgboost,crem_lime,23,0.4004557359990365,0.3044962582481736,-0.09595947775086289
CHEMBL1862_Ki,22,morgan,xgboost,crem_lime,42,0.3738657014863309,0.3212158765760604,-0.05264982491027054
CHEMBL1862_Ki,22,morgan,xgboost,crem_mean,11,0.0359848484848484,0.7784846648881736,0.7424998164033252
CHEMBL1862_Ki,22,morgan,xgboost,crem_mean,23,0.6003734352547563,0.8008307008307006,0.20045726557594434
CHEMBL1862_Ki,22,morgan,xgboost,crem_mean,42,0.3640819964349376,0.822754937287101,0.4586729408521634
CHEMBL1862_Ki,22,unimol,mlp,crem_lime,11,0.0223702357608189,0.7026068330823766,0.6802365973215577
CHEMBL1862_Ki,22,unimol,mlp,crem_lime,23,0.2823527867164754,0.4239012110352771,0.1415484243188017
CHEMBL1862_Ki,22,unimol,mlp,crem_lime,42,0.208591462635454,0.6447553382123329,0.43616387557687886
CHEMBL1862_Ki,22,unimol,mlp,crem_mean,11,0.3253699839444281,0.7154578578586459,0.3900878739142178
CHEMBL1862_Ki,22,unimol,mlp,crem_mean,23,0.5707995541437352,0.3651206508595624,-0.20567890328417276
CHEMBL1862_Ki,22,unimol,mlp,crem_mean,42,0.3148713599471175,0.7171396926660084,0.4022683327188909
CHEMBL1862_Ki,22,unimol,xgboost,crem_lime,11,0.4911464451766604,0.664969510455575,0.17382306527891456
CHEMBL1862_Ki,22,unimol,xgboost,crem_lime,23,0.2083989176355326,0.2561316908405215,0.04773277320498892
CHEMBL1862_Ki,22,unimol,xgboost,crem_lime,42,0.804958739923383,0.2843427197245503,-0.5206160201988327
CHEMBL1862_Ki,22,unimol,xgboost,crem_mean,11,0.572443673791713,0.863799334194071,0.29135566040235794
CHEMBL1862_Ki,22,unimol,xgboost,crem_mean,23,0.5612552172850348,0.6444531720615991,0.08319795477656433
CHEMBL1862_Ki,22,unimol,xgboost,crem_mean,42,0.5094698649303911,0.5640552833535288,0.05458541842313769
CHEMBL1862_Ki,25,molformer,mlp,crem_lime,11,0.1665739749961536,0.1902202045812962,0.02364622958514262
CHEMBL1862_Ki,25,molformer,mlp,crem_lime,23,-0.4058321594784665,0.3649576528529025,0.770789812331369
CHEMBL1862_Ki,25,molformer,mlp,crem_lime,42,-0.5037225731705461,0.3684520328538626,0.8721746060244087
CHEMBL1862_Ki,25,molformer,mlp,crem_mean,11,-0.5530828883803712,-0.4679854900436943,0.08509739833667695
CHEMBL1862_Ki,25,molformer,mlp,crem_mean,23,-0.2959364216168061,-0.179510675210108,0.11642574640669812
CHEMBL1862_Ki,25,molformer,mlp,crem_mean,42,-0.5120524296675185,-0.1262903179609993,0.3857621117065192
