dataset,component_id,representation,predictor,mapping_combinations_evaluated,chosen_mapping_nap,minimum_mapping_nap,maximum_mapping_nap,mapping_nap_range
CHEMBL228_Ki,49,unimol,xgboost,2,0.013047138047138,0.0074074074074074,0.013047138047138,0.0056397306397306
CHEMBL228_Ki,49,unimol,mlp,2,0.154040404040404,0.0069169960474308,0.154040404040404,0.1471234079929732
CHEMBL231_Ki,21,morgan,xgboost,4,0.1674865424430642,0.1376526689217061,0.1674865424430642,0.029833873521358
CHEMBL231_Ki,21,morgan,mlp,4,0.25485793899587,0.2116154649947753,0.25485793899587,0.0432424740010946
CHEMBL231_Ki,21,molformer,xgboost,4,0.158025974025974,0.116110275689223,0.158025974025974,0.0419156983367509
CHEMBL231_Ki,21,molformer,mlp,4,0.1072882205513784,0.0680902255639097,0.1072882205513784,0.0391979949874686
CHEMBL231_Ki,21,unimol,xgboost,4,0.2361413210445468,0.2023127496159753,0.2361413210445468,0.0338285714285714
CHEMBL231_Ki,21,unimol,mlp,4,0.3121269841269841,0.266478431372549,0.3121269841269841,0.045648552754435
CHEMBL233_Ki,13,morgan,xgboost,21,0.0232142857142857,-0.0199999999999999,0.1635714285714286,0.1835714285714286
CHEMBL233_Ki,13,morgan,mlp,21,0.0232142857142857,-0.0265816326530612,0.1493367346938775,0.1759183673469388
CHEMBL233_Ki,13,molformer,xgboost,21,0.0714285714285714,-0.0395408163265306,0.1428571428571428,0.1823979591836734
CHEMBL233_Ki,13,molformer,mlp,21,0.0714285714285714,-0.0332589285714285,0.0714285714285714,0.1046874999999999
CHEMBL233_Ki,13,unimol,xgboost,21,-0.0199248120300751,-0.0630174336941254,0.0,0.0630174336941254
CHEMBL233_Ki,13,unimol,mlp,21,-0.0201785714285714,-0.0510134508348794,0.0,0.0510134508348794
CHEMBL233_Ki,53,morgan,xgboost,2,0.3567608861726509,0.2445397739515387,0.3567608861726509,0.1122211122211122
