dataset,representation,predictor,explainer,trained_seed_mean_nap,random_permutation_mean_nap,trained_minus_random_nap,test_pairs,permutations_used,permutation_ids,full_10_trained_minus_random_nap,difference_from_10,absolute_difference_from_10
CHEMBL1871_Ki,morgan,xgboost,crem_lime,0.22706505544637703,0.0113679424024251,0.2329281627966906,11,1,42,0.17662021989162008,0.05630794290507052,0.05630794290507052
CHEMBL1871_Ki,morgan,xgboost,crem_mean,0.09929078014184389,0.0,0.09929078014184389,11,1,42,-0.016538798965218572,0.11582957910706246,0.11582957910706246
CHEMBL1871_Ki,unimol,mlp,crem_lime,0.03954489113774497,0.1473662405872932,-0.05925602237174882,11,1,42,-0.0234334884941371,-0.035822533877611716,0.035822533877611716
CHEMBL1871_Ki,unimol,mlp,crem_mean,0.05044689638420286,0.1944362671384342,-0.031877179533429535,11,1,42,-0.010467025989070115,-0.02141015354435942,0.02141015354435942
CHEMBL1871_Ki,unimol,xgboost,crem_lime,0.09297394660516002,0.1224872297827337,-0.11735004044580068,11,1,42,-0.02914121961990948,-0.0882088208258912,0.0882088208258912
CHEMBL1871_Ki,unimol,xgboost,crem_mean,0.06271786492374723,0.1143617021276595,-0.022841091564830995,11,1,42,-0.017215103159252093,-0.005625988405578902,0.005625988405578902
CHEMBL2034_Ki,molformer,mlp,crem_lime,0.10119227071559664,0.20354457313449398,0.011472657656662555,12,1,42,-0.05781095726051726,0.06928361491717981,0.06928361491717981
CHEMBL2034_Ki,molformer,mlp,crem_mean,0.11089871068862656,0.16752057466343165,-0.015065043034459418,12,1,42,0.011539117356911235,-0.026604160391370653,0.026604160391370653
CHEMBL2034_Ki,molformer,xgboost,crem_lime,0.19796927422427846,0.06242639234997515,0.02978623519589588,12,1,42,0.017679712084846783,0.012106523111049098,0.012106523111049098
CHEMBL2034_Ki,molformer,xgboost,crem_mean,0.133148329670886,0.0942738754155507,0.02905595538470492,12,1,42,-0.007338076463725766,0.03639403184843069,0.03639403184843069
CHEMBL2034_Ki,morgan,mlp,crem_lime,0.060614394339363234,0.09282892114912206,0.014164949853845213,12,1,42,-0.05422480658838447,0.06838975644222968,0.06838975644222968
CHEMBL2034_Ki,morgan,mlp,crem_mean,0.16989499622058937,0.1722579358208709,0.047947767773567206,12,1,42,-0.01885237817622623,0.06680014594979344,0.06680014594979344
CHEMBL2034_Ki,morgan,xgboost,crem_lime,-0.009569964669032784,0.1503282446819622,-0.11576540320911165,12,1,42,-0.18751839824985073,0.07175299504073908,0.07175299504073908
CHEMBL2034_Ki,morgan,xgboost,crem_mean,0.08060923516750582,0.25057397959183675,-0.11469943240266123,12,1,42,0.0008901106628379902,-0.11558954306549922,0.11558954306549922
CHEMBL2034_Ki,unimol,mlp,crem_lime,0.1961612733343458,0.3201443032456164,-0.15045393676477653,12,1,42,-0.014382966505544409,-0.13607097025923212,0.13607097025923212
CHEMBL2034_Ki,unimol,mlp,crem_mean,0.14565444496450586,0.20151963703551,-0.04697258134758134,12,1,42,-0.008780529787023369,-0.038192051560557966,0.038192051560557966
CHEMBL2034_Ki,unimol,xgboost,crem_lime,0.06753664040989474,0.16143018264714742,-0.07154619599251803,12,1,42,-0.12573609914577866,0.054189903153260624,0.054189903153260624
CHEMBL2034_Ki,unimol,xgboost,crem_mean,0.1297711531521539,0.10699539572934325,-0.02753511295691461,12,1,42,-0.027057060949045992,-0.0004780520078686186,0.0004780520078686186
CHEMBL2047_EC50,molformer,mlp,crem_lime,0.11157307778534545,0.1850869852901783,0.021542859664123948,10,1,42,-0.011929971724521884,0.03347283138864583,0.03347283138864583
CHEMBL2047_EC50,molformer,mlp,crem_mean,0.05741546170852106,0.13181105595260484,-0.058522846795500315,10,1,42,-0.08920607132700975,0.030683224531509436,0.030683224531509436
CHEMBL2047_EC50,molformer,xgboost,crem_lime,0.1264162784321173,0.035894104903524,0.019549933718970673,10,1,42,-0.05090872691893511,0.07045866063790579,0.07045866063790579
CHEMBL2047_EC50,molformer,xgboost,crem_mean,0.04585588409429166,0.0687553287230011,0.0020406595959491496,10,1,42,-0.05322441766477186,0.05526507726072101,0.05526507726072101
CHEMBL2047_EC50,morgan,mlp,crem_lime,0.16882727355330826,0.0800759739659675,-0.015166899868995425,10,1,42,-0.045341154077810454,0.03017425420881503,0.03017425420881503
CHEMBL2047_EC50,morgan,mlp,crem_mean,0.10479336283090059,0.0014042893219320001,0.0373697837882592,10,1,42,0.02127397556587231,0.016095808222386886,0.016095808222386886
CHEMBL2047_EC50,morgan,xgboost,crem_lime,0.0211133206129612,0.015249442219775899,0.0201279906468937,10,1,42,-0.1554920449853004,0.17562003563219408,0.17562003563219408
