dataset,representation,predictor,explainer,permutations,mean_of_permutation_medians,sd_of_permutation_medians,median_of_permutation_medians,q25_of_permutation_medians,q75_of_permutation_medians,minimum_permutation_median,maximum_permutation_median
CHEMBL2047_EC50,molformer,xgboost,crem_lime,10,0.07156958193379301,0.0729444200148177,0.04061936754787035,0.015586740159924424,0.1460991977949618,-0.0237582343495709,0.17209860443824065
CHEMBL2047_EC50,molformer,xgboost,crem_mean,10,0.0512858968583782,0.03860363796327506,0.0385476639661545,0.019169567656584813,0.07342023642406792,0.0082809132537976,0.1200060088627377
CHEMBL2047_EC50,morgan,mlp,crem_lime,10,0.1962235063969467,0.08357387818806697,0.1876919383649007,0.1608215269483796,0.2181961888261578,0.0800759739659675,0.3860239960898527
CHEMBL2047_EC50,morgan,mlp,crem_mean,10,0.031254216075706484,0.02882421658569571,0.023173570468361347,0.008995524706898551,0.05132855244627382,-0.0011202128562239999,0.08644300978052939
CHEMBL2047_EC50,morgan,xgboost,crem_lime,10,0.11894039602636383,0.12818698136199613,0.0957423616944954,0.022612195629360936,0.15313808560026368,-0.0160758840552576,0.3573881696568565
CHEMBL2047_EC50,morgan,xgboost,crem_mean,10,0.022117367251680037,0.046139187601022084,0.001797334609834575,0.0,0.023610948327156028,-0.014204364736195602,0.1442174694926229
CHEMBL2047_EC50,unimol,mlp,crem_lime,10,0.09810616429095968,0.03776814731625614,0.10142411762897835,0.07586150042139313,0.12214596777228807,0.03902371225893615,0.15192392044379174
CHEMBL2047_EC50,unimol,mlp,crem_mean,10,0.051403827929190016,0.039099582391663695,0.05419496935713455,0.021441653313677502,0.0661664976226482,0.0018896926683442498,0.1289574827612056
CHEMBL2047_EC50,unimol,xgboost,crem_lime,10,0.053961088553279336,0.08907006953007963,0.0257922339250012,0.019004057804845702,0.048976827456193986,-0.0413520999946405,0.27578866318196854
CHEMBL2047_EC50,unimol,xgboost,crem_mean,10,0.046501920235128516,0.026801224252839356,0.04588604616368272,0.03297532327908294,0.06418988220371066,0.0,0.09351704922922975
CHEMBL204_Ki,molformer,mlp,crem_lime,10,0.04681737885850562,0.026613976606269164,0.05002505855748535,0.024645784616635573,0.06865455105671488,0.0089219576719576,0.0839068763027095
CHEMBL204_Ki,molformer,mlp,crem_mean,10,0.026897445664147167,0.016233848237770528,0.0209183598713322,0.018008924196717575,0.030238609811370026,0.0131248722038195,0.0671516873344339
CHEMBL204_Ki,molformer,xgboost,crem_lime,10,0.06249832941085117,0.03182983217391651,0.055128169545076905,0.04204514958291197,0.07581234053640537,0.0240450118411976,0.1326383635251102
CHEMBL204_Ki,molformer,xgboost,crem_mean,10,0.04700467904640828,0.020641467123363993,0.048383534548183796,0.031445775142528054,0.06327286891311272,0.0101991274503481,0.0756392728924845
CHEMBL204_Ki,morgan,mlp,crem_lime,10,0.10178250957111919,0.03328158148620016,0.10253138586809299,0.0844830565630397,0.12017846188089286,0.0358980852291112,0.1492374727668845
CHEMBL204_Ki,morgan,mlp,crem_mean,10,0.06630614077071485,0.023669452115612687,0.0697918995521554,0.05108850933519507,0.08445469054926885,0.0208637438739574,0.0945527198120077
CHEMBL204_Ki,morgan,xgboost,crem_lime,10,0.03685324825863538,0.03550254934626165,0.0295595607090256,0.008628151123355701,0.0563464760834254,0.0,0.1008164414414414
CHEMBL204_Ki,morgan,xgboost,crem_mean,10,0.03189657188413788,0.04378084047000343,0.0,0.0,0.06515793879463071,0.0,0.1087086226459049
CHEMBL204_Ki,unimol,mlp,crem_lime,10,0.06424642188173328,0.032313959920225406,0.058771553598600146,0.041187834150060276,0.06897650599395494,0.0286049295918024,0.1320915974035066
CHEMBL204_Ki,unimol,mlp,crem_mean,10,0.056835085164615884,0.024024443204423606,0.0565595387339084,0.03535150193728278,0.06945995927700188,0.0317595449794153,0.1072159130767469
CHEMBL204_Ki,unimol,xgboost,crem_lime,10,0.08413644312355403,0.036799221324381494,0.08336394311112924,0.06678650543212003,0.1044508716284567,0.0199806464066342,0.1499797491642239
CHEMBL204_Ki,unimol,xgboost,crem_mean,10,0.07469476270017349,0.015935760054322654,0.07856672295205769,0.06501703020733272,0.0840183561297609,0.0486750617352032,0.1001652768387048
CHEMBL2147_Ki,molformer,mlp,crem_lime,10,0.05270707555798665,0.08504218509454764,0.02703801379531655,0.0,0.059844743231120774,-0.018640427719534,0.2567484623507067
CHEMBL2147_Ki,molformer,mlp,crem_mean,10,0.06858132060900332,0.04331243607363331,0.0654387627205434,0.040996453352020526,0.09992732194176694,0.0054939294770991,0.1408869395711501
