dataset,representation,predictor,permutation_id,permutation_seed,test_pairs,spearman_true_predicted_delta,spearman_defined,direction_accuracy,delta_mae,delta_rmse,median_absolute_predicted_delta
CHEMBL219_Ki,molformer,xgboost,47,20268949,34,-0.22756476125270603,True,0.29411764705882354,1.769917359854971,1.8721349759046233,0.0056742429733276
CHEMBL219_Ki,molformer,xgboost,48,20268950,34,0.21833460656990067,True,0.6176470588235294,1.7493747592793556,1.847579079301863,0.06479859352111811
CHEMBL219_Ki,molformer,xgboost,49,20268951,34,0.19988049066702707,True,0.35294117647058826,1.7665127180023117,1.865829783222814,0.008761465549468949
CHEMBL219_Ki,molformer,xgboost,50,20268952,34,0.06829640947288004,True,0.47058823529411764,1.7805505339658323,1.8796044832844405,0.0574675798416137
CHEMBL219_Ki,molformer,xgboost,51,20268953,34,0.28665291549775734,True,0.5294117647058824,1.738042075575877,1.8351372671460378,0.06906753778457635
CHEMBL219_Ki,morgan,mlp,42,20268944,34,-0.17463712757830405,True,0.5,1.7985253629383684,1.9015825199361511,0.08607369661331174
CHEMBL219_Ki,morgan,mlp,43,20268945,34,0.06585179526355996,True,0.5,1.7580299707841236,1.8743889911496079,0.10575282573699946
CHEMBL219_Ki,morgan,mlp,44,20268946,34,0.14285714285714285,True,0.5588235294117647,1.7749081794774595,1.8827217416368223,0.11243343353271479
CHEMBL219_Ki,morgan,mlp,45,20268947,34,0.17494270435446904,True,0.6176470588235294,1.7858397098969776,1.8870390040714333,0.08170294761657709
CHEMBL219_Ki,morgan,mlp,46,20268948,34,0.19144385026737967,True,0.5294117647058824,1.72296135013041,1.8329842101376903,0.0581380724906921
CHEMBL219_Ki,morgan,mlp,47,20268949,34,-0.07257448433919021,True,0.47058823529411764,1.7553841065779217,1.8766480708542845,0.08741325139999384
CHEMBL219_Ki,morgan,mlp,48,20268950,34,0.3298701298701298,True,0.6470588235294118,1.734579487490029,1.8334370506784297,0.1080580353736877
CHEMBL219_Ki,morgan,mlp,49,20268951,34,-0.027654698242933536,True,0.47058823529411764,1.7732873503720823,1.8873677517970509,0.0783090591430664
CHEMBL219_Ki,morgan,mlp,50,20268952,34,-0.2333078686019862,True,0.4411764705882353,1.7917569084147207,1.9059359070366688,0.09413683414459226
CHEMBL219_Ki,morgan,mlp,51,20268953,34,0.1281894576012223,True,0.5882352941176471,1.7266335467149994,1.8391173218817638,0.07316488027572625
CHEMBL219_Ki,morgan,xgboost,42,20268944,34,-0.1919846918103954,True,0.2647058823529412,1.7832729585851705,1.888252788383098,0.01800447702407835
CHEMBL219_Ki,morgan,xgboost,43,20268945,34,-0.1649456771961095,True,0.058823529411764705,1.7712857071912351,1.870989316038482,0.0
CHEMBL219_Ki,morgan,xgboost,44,20268946,34,0.22154855899792683,True,0.4411764705882353,1.7645954224061329,1.8656873235392228,0.0400534868240356
CHEMBL219_Ki,morgan,xgboost,45,20268947,34,-0.02661725603170218,True,0.2647058823529412,1.8009233068838604,1.8946248015280773,0.0149558782577514
CHEMBL219_Ki,morgan,xgboost,46,20268948,34,0.04013615926685919,True,0.3235294117647059,1.7889070455586973,1.8755993113174092,0.04189264774322505
CHEMBL219_Ki,morgan,xgboost,47,20268949,34,-0.21539717393976965,True,0.35294117647058826,1.8101740599499794,1.906540011861035,0.0239205360412597
CHEMBL219_Ki,morgan,xgboost,48,20268950,34,0.23386915909073364,True,0.20588235294117646,1.7597587474073446,1.8618823567995748,0.0
CHEMBL219_Ki,morgan,xgboost,49,20268951,34,0.021891219181659347,True,0.20588235294117646,1.7779069452545986,1.8704889234599822,0.0038694739341735
CHEMBL219_Ki,morgan,xgboost,50,20268952,34,-0.0905933159138324,True,0.2647058823529412,1.7797926679198244,1.8876716226077617,0.0254457592964172
CHEMBL219_Ki,morgan,xgboost,51,20268953,34,0.09252609572601883,True,0.35294117647058826,1.7642421667134824,1.8686265116549041,0.00616610050201415
CHEMBL219_Ki,unimol,mlp,42,20268944,34,-0.1016042780748663,True,0.6176470588235294,1.7767625606180002,1.8866708058123993,0.0639594197273254
CHEMBL219_Ki,unimol,mlp,43,20268945,34,0.0346829640947288,True,0.5882352941176471,1.7439652065088531,1.859200844943921,0.11696308851242065
CHEMBL219_Ki,unimol,mlp,44,20268946,34,0.0267379679144385,True,0.5294117647058824,1.7781761233365598,1.8874697540366914,0.09926396608352656
CHEMBL219_Ki,unimol,mlp,45,20268947,34,0.19388846447669975,True,0.5882352941176471,1.7441253536708978,1.8508639977753656,0.0755384564399719
CHEMBL219_Ki,unimol,mlp,46,20268948,34,0.18624904507257448,True,0.5,1.749956833697143,1.85559467295036,0.1482318043708801
CHEMBL219_Ki,unimol,mlp,47,20268949,34,0.2611153552330023,True,0.5882352941176471,1.7195559825035467,1.8301983481861965,0.10547560453414914
CHEMBL219_Ki,unimol,mlp,48,20268950,34,-0.12177234530175705,True,0.47058823529411764,1.7868502365260328,1.8922121426123923,0.12492293119430534
CHEMBL219_Ki,unimol,mlp,49,20268951,34,-0.2397249809014515,True,0.5,1.79112560757266,1.9392008993083398,0.16895329952239985
CHEMBL219_Ki,unimol,mlp,50,20268952,34,0.044461420932009166,True,0.4117647058823529,1.7771522557855417,1.8767039858797605,0.09194213151931754
CHEMBL219_Ki,unimol,mlp,51,20268953,34,-0.11535523300229181,True,0.5294117647058824,1.768486630998716,1.877710425526533,0.12324965000152585
