scenario,rationale,explainer,dataset,component_id,representation,predictor,trained_nap,trained_ap,trained_prevalence,permuted_nap,permuted_ap,permuted_prevalence,delta_nap_rescore,delta_nap_reference,rescore_minus_reference_delta_nap
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,157,unimol,mlp,0.023938466427417548,0.2470382455297221,0.22857142857142856,-0.059137552535022196,0.1829510309015543,0.22857142857142856,0.08307601896243974,0.08270983356800576,0.0003661853944339766
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,157,unimol,xgboost,-0.06593809874456935,0.17770489525418934,0.22857142857142856,-0.037008348059563836,0.20002213149690787,0.22857142857142856,-0.028929750685005515,-0.030843846947760732,0.0019140962627552174
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,159,molformer,mlp,-0.11144851700513629,0.188942974077333,0.2702702702702703,0.05926367259818923,0.3135167340581381,0.2702702702702703,-0.17071218960332551,-0.1707121896033254,-1.1102230246251565e-16
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,159,molformer,xgboost,-0.13090713774521426,0.1747434400237626,0.2702702702702703,-0.11489964851491678,0.18642458081343913,0.2702702702702703,-0.016007489230297475,-0.01600748923029746,-1.3877787807814457e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,159,morgan,mlp,-0.12561546268232468,0.17860493263722255,0.2702702702702703,-0.12377389850149507,0.17994877676917928,0.2702702702702703,-0.0018415641808296052,-0.0018415641808296052,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,159,morgan,xgboost,-0.09895118331542695,0.19806265001306686,0.2702702702702703,-0.10178373881387782,0.19599565005473782,0.2702702702702703,0.0028325554984508783,0.002832555498450906,-2.7755575615628914e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,159,unimol,mlp,-0.129746350217978,0.17559050119228634,0.2702702702702703,-0.1366005755665319,0.17058876918117946,0.2702702702702703,0.0068542253485538995,0.006854225348553844,5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,159,unimol,xgboost,-0.13194056514758562,0.17398931732473485,0.2702702702702703,-0.09570814390529696,0.20042919228532385,0.2702702702702703,-0.03623242124228866,-0.03623242124228869,2.7755575615628914e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,162,molformer,mlp,0.010893623904521643,0.06118716845174935,0.05084745762711865,0.3022866356247363,0.337763586355682,0.05084745762711865,-0.29139301172021465,-0.29139301172021465,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,162,molformer,xgboost,0.043904448309255606,0.09251947636132736,0.05084745762711865,-0.0023824505682549543,0.048586148613181744,0.05084745762711865,0.04628689887751056,0.04628689887751046,9.71445146547012e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,162,morgan,mlp,0.13680455347122011,0.180695847362514,0.05084745762711865,0.7912367724867724,0.8018518518518517,0.05084745762711865,-0.6544322190155523,-0.6544322190155523,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,162,morgan,xgboost,0.05030478038872682,0.09859436782658816,0.05084745762711865,0.07788928891303494,0.12477627422254163,0.05084745762711865,-0.02758450852430812,-0.027584508524308174,5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,162,unimol,mlp,0.009203773762125276,0.05958324289286467,0.05084745762711865,-0.012323967069918486,0.03915013295058584,0.05084745762711865,0.021527740832043764,0.02152774083204373,3.469446951953614e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,162,unimol,xgboost,-0.014442064310279468,0.037139735569904235,0.05084745762711865,0.06203347447617396,0.10972668763840242,0.05084745762711865,-0.07647553878645343,-0.07647553878645333,-9.71445146547012e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,163,molformer,mlp,0.47113729887236294,0.5557553310527849,0.16,0.21654940622398125,0.3419015012281443,0.16,0.25458789264838166,0.25458789264838155,1.1102230246251565e-16
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,163,molformer,xgboost,0.24737905104048533,0.3677984028740077,0.16,-0.004666909869777402,0.156079795709387,0.16,0.2520459609102627,0.25204596091026266,5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,163,morgan,mlp,-0.056103952330799185,0.11287268004212869,0.16,-0.055519714981210576,0.11336343941578313,0.16,-0.0005842373495886094,-0.0005842373495885955,-1.3877787807814457e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,163,morgan,xgboost,-0.04045122216763464,0.1260209733791869,0.16,-0.028841787089590943,0.1357728988447436,0.16,-0.011609435078043694,-0.011609435078043632,-6.245004513516506e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,163,unimol,mlp,-0.05588549931894397,0.11305618057208706,0.16,0.0384206207620279,0.19227332144010345,0.16,-0.09430612008097186,-0.09430612008097178,-8.326672684688674e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,163,unimol,xgboost,-0.043348175448208036,0.12358753262350525,0.16,0.061379620263525426,0.21155888102136136,0.16,-0.10472779571173346,-0.10472779571173337,-9.71445146547012e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,164,molformer,mlp,0.12204518823448822,0.32798520580911444,0.23456790123456792,0.25946120637451797,0.4331678369780261,0.23456790123456792,-0.13741601814002974,-0.13741601814002974,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,164,molformer,xgboost,0.10315794522046308,0.31352830374899643,0.23456790123456792,0.0236199338399224,0.25264735676636035,0.23456790123456792,0.07953801138054067,0.07953801138054066,1.3877787807814457e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,164,morgan,mlp,0.3423448953395715,0.4966096729759683,0.23456790123456792,-0.0710237097677159,0.1802040740049582,0.23456790123456792,0.4133686051072874,0.4133686051072873,1.1102230246251565e-16
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,164,morgan,xgboost,0.46240516745027144,0.5885076590360102,0.23456790123456792,0.284823831056956,0.4525812040189046,0.23456790123456792,0.17758133639331541,0.17758133639331536,5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,164,unimol,mlp,0.0687499548311019,0.2871913234509669,0.23456790123456792,-0.03810628701221878,0.20540012599064736,0.23456790123456792,0.10685624184332068,0.10685624184332065,2.7755575615628914e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,164,unimol,xgboost,0.06506596985506861,0.2843714830989414,0.23456790123456792,0.21810633461226425,0.401513490690869,0.23456790123456792,-0.15304036475719562,-0.15304036475719562,0.0
