dataset,component_id,representation,predictor,mapping_combinations_evaluated,chosen_mapping_nap,minimum_mapping_nap,maximum_mapping_nap,mapping_nap_range
CHEMBL236_Ki,48,unimol,xgboost,2,0.012639735523523182,0.012639735523523182,0.013399795645132799,0.0007600601216096164
CHEMBL236_Ki,48,unimol,mlp,2,0.05410621966925823,0.03813414479956077,0.05410621966925823,0.015972074869697463
CHEMBL236_Ki,85,morgan,xgboost,2,0.019354838709677424,0.007130730050933787,0.019354838709677424,0.012224108658743637
CHEMBL236_Ki,85,morgan,mlp,2,0.016897081413210443,0.014759901155413075,0.016897081413210443,0.0021371802577973675
CHEMBL236_Ki,85,molformer,xgboost,2,0.013620071684587816,0.01053212020953957,0.013620071684587816,0.0030879514750482458
CHEMBL236_Ki,85,molformer,mlp,2,0.019354838709677424,0.004651162790697671,0.019354838709677424,0.014703675918979753
CHEMBL236_Ki,85,unimol,xgboost,2,0.15542521994134897,0.09406722309948116,0.15542521994134897,0.06135799684186781
CHEMBL236_Ki,85,unimol,mlp,2,0.012622720897615706,0.0009250693802035109,0.012622720897615706,0.011697651517412195
CHEMBL236_Ki,107,morgan,xgboost,2,0.0,0.0,0.0,0.0
CHEMBL236_Ki,107,morgan,mlp,2,0.0,0.0,0.0,0.0
CHEMBL236_Ki,107,molformer,xgboost,2,0.0,0.0,0.0,0.0
CHEMBL236_Ki,107,molformer,mlp,2,0.0,0.0,0.0,0.0
CHEMBL236_Ki,107,unimol,xgboost,2,0.0,0.0,0.0,0.0
CHEMBL236_Ki,107,unimol,mlp,2,0.0,0.0,0.0,0.0
CHEMBL236_Ki,149,morgan,xgboost,2,0.10158730158730157,0.10158730158730157,0.10345887445887444,0.0018715728715728713
CHEMBL236_Ki,149,morgan,mlp,2,0.07261904761904761,0.04597883597883597,0.07261904761904761,0.026640211640211638
CHEMBL236_Ki,149,molformer,xgboost,2,0.012454212454212453,0.012454212454212453,0.18888888888888886,0.1764346764346764
CHEMBL236_Ki,149,molformer,mlp,2,0.0022675736961451243,0.0022675736961451243,0.13381737310308736,0.13154979940694222
CHEMBL236_Ki,149,unimol,xgboost,2,0.10158730158730157,0.10158730158730157,0.17343915343915342,0.07185185185185185
CHEMBL236_Ki,149,unimol,mlp,2,0.05523809523809523,0.05523809523809523,0.33373015873015865,0.2784920634920634
CHEMBL237_EC50,23,morgan,xgboost,2,0.10068426197458455,0.10068426197458455,0.10068426197458455,0.0
CHEMBL237_EC50,23,morgan,mlp,2,0.05376344086021505,0.05376344086021505,0.05376344086021505,0.0
CHEMBL237_EC50,23,molformer,xgboost,2,0.09580402619451854,0.09580402619451854,0.09580402619451854,0.0
CHEMBL237_EC50,23,molformer,mlp,2,0.09308755760368663,0.09308755760368663,0.09308755760368663,0.0
CHEMBL237_EC50,23,unimol,xgboost,2,0.02372418501450759,0.02372418501450759,0.02372418501450759,0.0
CHEMBL237_EC50,23,unimol,mlp,2,0.02398220244716352,0.02398220244716352,0.02398220244716352,0.0
