draw,unadjusted_boundary_extended,null_adjusted_boundary_extended,null_adjusted_strict_unmatched,null_adjusted_boundary_prevalence_le_0_8
34,-0.0080616169390889,-0.008060887541727166,-0.007828323081167841,-0.007785551595670664
35,-0.0046073914823914,-0.006174286590414184,-0.010319120481390446,-0.005521788847004033
36,-0.0052287048131923,-0.011993247728927025,-0.01333725027097896,-0.013909218963906463
37,-0.00516255933360165,-0.0021303787664979368,-0.010874687782293857,-0.0023987757502086614
38,-0.008966075098778,-0.014521160534261529,-0.009670522504363652,-0.008043956043956062
39,-0.0097595127215445,-0.011952777591610543,-0.011875627465109662,-0.0038744437284593883
40,-0.0028287995644212,-0.004886347857321213,-0.009065634727769833,-0.011291873101282882
41,-0.0112163862521193,-0.010524946348776196,-0.012608763702184778,-0.004580518533384308
42,-0.011045329867538551,-0.006183041027262144,-0.010745763152350572,-0.012240937908200047
43,-0.01223610246900695,-0.005217477221473754,-0.009108397914465539,-0.010602787788341197
44,-0.0051127330445941,-0.0037441925913631706,-0.011978569676472544,-0.012139989742137057
45,-0.0240256038966105,-0.008815934809000732,-0.01052106439240727,-0.010132992354683653
46,-0.0038191700422561,-0.011997600240610761,-0.008782251602564156,-0.010267676767676766
47,-0.01117704694473025,-0.006137217416076299,-0.011978569676472544,-0.010106402696260286
48,-0.00151435857754275,-0.015065571258428116,-0.010503489885634876,-0.01184316502462629
49,-0.0052287048131923,-0.01022051952787107,-0.013230788611740991,-0.004238618336045611
50,-0.010551064855599101,-0.0160440334119386,-0.015351674127494348,-0.006957624323549516
51,-0.0122685185185185,-0.010524946348776196,-0.008657272986533092,-0.008317338515946767
52,-0.0080616169390889,-0.008060887541727166,-0.009638074429283593,-0.00793448821823678
53,-0.010413579021082899,-0.0011063151652216524,-0.011059552445154025,-0.013318639671463933
54,-0.0056742991932311,-0.01176703820333212,-0.009192446702049682,-0.008637583323057793
55,0.0,-0.01230827387707335,-0.00512062711234984,-0.01113931540774176
56,-0.0099199770408283,-0.006503232413782851,-0.009116218910513299,-0.0014329836829836823
57,-0.0050816897071932,-0.008262307567758326,-0.013807408749263683,-0.0044432771816652235
58,-0.0123759648866485,-0.00881542048637636,-0.011978569676472544,-0.011265452237294792
59,-0.00899863884414875,-0.008647990475847134,-0.006664166666666679,-0.00582943457046093
60,-0.014740780526004601,-0.010921257802186002,-0.012829019802080297,-0.0038967181387069144
61,-0.012292988548330351,-0.0025474759246913448,-0.009214971080545063,-0.016955100896446765
62,-0.0068267873874491,-0.01001342101795271,-0.008531889404787121,-0.011238379660827514
63,-0.00687758138071325,-0.0011304467609581023,-0.014233483167802635,-0.009700972565726381
64,-0.0066980247222447,-0.010629860364808475,-0.011059552445154025,-0.011291873101282882
65,-0.0130810654033066,-0.012240937908200047,-0.010701873295239517,-0.010054499390174703
66,-0.0022002774653806997,-0.005054244799056945,-0.006888592117758781,-0.006222518379410305
67,-0.0098678934287302,-0.006183041027262144,-0.010219375355231557,-0.012512532405865785
68,-0.0037954423461669,-0.013898084780365211,-0.014580551192078125,-0.005252636879134517
69,-0.0030122114168308,-0.009936372446450445,-0.011265782616116039,-0.009156068506534089
70,-0.005309141716300449,-0.006281023526005711,-0.016748549031267438,-0.006503232413782851
71,-0.00621402407116685,-0.0071889279583331675,-0.012550269615854268,-0.009141459338820546
72,-0.00318525436054075,-0.014039872676901176,-0.011595564158905256,-0.005997809725735256
73,-0.0075039430428525495,-0.005744180177707246,-0.013479581618989862,-0.012636458399057356
74,-0.0107265703387327,-0.008043956043956062,-0.012343247270227573,-0.012648982509970826
75,-0.0124280481423337,-0.0118320454237121,-0.016387288694175585,-0.010455026455026467
76,-0.0041815555416761995,-0.012407024493032172,-0.011595564158905256,-0.013062113239567663
77,-0.0099889182088914,-0.011370292019381528,-0.01368053498556299,-0.003932325518829067
78,-0.0031705434881182503,-0.006330930949014031,-0.00829065934065936,-0.0032752525252525266
79,-0.0036211584020387003,-0.010594633538150561,-0.011974314960939023,-0.01224663654624284
80,-0.012383359711811051,-0.004688228438228439,-0.014783773843086552,-0.011400482130672088
81,-0.0056698492011727,-0.0010456396272573165,-0.01327601508098934,-0.005924755209241827
82,-0.0106425256867832,-0.008951126051071862,-0.01386370718752063,-0.0034643727232618535
83,-0.00234230765012985,-0.012177590587006987,-0.009141665088749383,-0.009651760101360762
84,-0.0110641293754378,-0.01016699664815704,-0.011794964982806098,-0.012406144781144678
85,-0.013949365245873951,-0.010531483131530125,-0.012575290054291276,-0.009485932273432987
86,-0.0040010622350588505,-0.009249491249491265,-0.013732202252743478,-0.010224570624160115
87,-0.0109220354160324,-0.010207886751417036,-0.014383453806590861,-0.0034859468496794555
88,-0.0062523334472551,-0.007816669761729277,-0.01081781072504822,-0.005254236715306823
89,-0.01177834809989195,-0.0096354806320136,-0.013025405716810608,-0.010602787788341197
90,-0.0098210544901722,-0.011152969775275991,-0.010701873295239517,-0.00625153055513958
91,-0.011593762878518949,-0.014300525576716086,-0.010337214156239526,-0.009139872549294322
92,-0.00736121854787705,-0.01213271225068524,-0.010817444686493432,-0.014017186431469077
93,-0.0080066516679024,-0.011902777777777769,-0.010304690043946945,-0.006950313060318828
94,-0.0025757090168889506,-0.006543026900271611,-0.0042466559224643985,-0.013667913051466505
95,-0.0003619398233759507,-0.016295633340875342,-0.01315960258392732,-0.005339581714581716
96,-0.0026769504097935,-0.005939343899406599,-0.012571449954328316,-0.008043956043956062
97,-0.008276037687802398,-0.0110576556014262,-0.010436913985103475,-0.011400482130672088
98,-0.0002183828076685,-0.009156068506534089,-0.0077292390785215215,-0.013850088183421538
99,-0.0014174414984533502,-0.008637583323057793,-0.014153056692664943,-0.012407024493032172
100,-0.0077560155454622,-0.012399030106549047,-0.004914175173967486,-0.013169142681446451
101,-0.0016013336924419,-0.008813962350952144,-0.01055331653964162,-0.0038967181387069144
102,0.0,-0.004315270224342192,-0.01045512679226189,-0.013289425924703278
103,-0.0066980247222447,-0.010132992354683653,-0.015384609571336142,-0.014489366881502153
104,-0.0123931266816072,-0.008647990475847134,-0.010219642122883408,-0.010602787788341197
105,-0.008966075098778,-0.013437501205529796,-0.012291062905774836,-0.012847180050112289
106,-0.0060883922603028,-0.015737466611630738,-0.01034627237127174,-0.01111916714091317
107,-0.0065215121483298,-0.017316914382159942,-0.003739355011279189,-0.007262099020593903
108,-0.0008200540456289,-0.007651742877670997,-0.010456821051569825,-0.007509308868209316
109,-0.012383359711811051,-0.012876160307688083,-0.015384609571336142,-0.0020568755528699648
110,-0.0063981994100258,-0.011007346441897173,-0.010204904006762576,-0.006879222922469591
111,-0.0068245384743701,-0.009648297907952973,-0.006799902376332858,-0.010311260603637032
112,-0.00909004580917455,-0.006637243839825901,-0.008027734777136109,-0.0049260284680743595
113,-0.01031670632017,-0.01388695059682396,-0.011101617770358754,-0.002846008212812629
114,-0.0129280129100413,-0.01124335162541554,-0.013892486009065324,-0.002561697571680864
115,-0.010413579021082899,-0.011081028982697676,-0.0023366432830088293,-0.009143578775019697
116,-0.0121201062905389,-0.010455026455026467,-0.010618944744438492,-0.009084282310016588
117,-0.003947765091964451,-0.010054499390174703,-0.011160369697703565,-0.008310315765616659
118,-0.0036780526858889,-0.009952815385615519,-0.009153198619233974,-0.012604565969533592
119,-0.00440835663777265,-0.01543643632706474,-0.008695330981740662,-0.0021334102890898264
120,-0.00443032278257135,-0.013013575630245897,-0.010374420121725687,-0.006815920802463377
121,-0.010352639758651,-0.006950313060318828,-0.01383508478924529,-0.007881053904101543
122,-0.01025968002101325,-0.005737737505548693,-0.010420078763828763,-0.008139765948013494
123,-0.0088006674500482,-0.011209045584045584,-0.012006639207553859,-0.009143578775019697
124,-0.0032026673848838,-0.01113931540774176,-0.007668850715561254,-0.006548379805096399
125,-0.0063981994100258,-0.007357599220366044,-0.012571449954328316,-0.009084282310016588
126,-0.00646123396123395,-0.007141015223366411,-0.009390498792033481,-0.01069805363771864
127,-0.01190277661984995,-0.006920819822157134,-0.008718849064431454,-0.008813962350952144
128,-0.005309141716300449,-0.004238618336045611,-0.0137437529456204,-0.005719750036645738
129,-0.0078193645503206,-0.011470744533341142,-0.01338804261922354,-0.005608851652051295
130,-0.0064850543181698,-0.005054244799056945,-0.010526323449607758,-0.0037441925913631706
131,-0.0056742991932311,-0.006957624323549516,-0.010069302000248706,-0.005633118891895689
132,-0.0040967712842711,-0.007132140404238648,-0.012075101470122106,-0.009776685217785953
133,-0.0006980778616807,-0.007116081982155516,-0.01271752479057739,-0.009475905389455495
134,-0.0099406149406149,-0.00622886463844799,-0.010436913985103475,-0.0049732627618637865
