dataset,component_id,left_index,right_index,representation,predictor,trained_ap,trained_nap,permuted_ap,permuted_nap,prevalence,delta_ap,delta_nap
CHEMBL1871_Ki,14,313,315,morgan,xgboost,0.1553748036013481,-0.0224410272194205,0.2219202898550724,0.0581140350877193,0.1739130434782608,-0.0665454862537242,-0.0805550623071398
CHEMBL1871_Ki,14,313,315,unimol,mlp,0.2060487117552334,0.0389010721247563,0.1901006375870505,0.0195955086580086,0.1739130434782608,0.0159480741681828,0.0193055634667476
CHEMBL1871_Ki,14,313,315,unimol,xgboost,0.204971083296312,0.0375965745165883,0.1599310964800094,-0.0169255147873569,0.1739130434782608,0.0450399868163026,0.0545220893039452
CHEMBL1871_Ki,18,248,252,molformer,mlp,0.5594197225776173,0.4768109205609206,0.4235380116959064,0.3154513888888888,0.1578947368421052,0.1358817108817108,0.1613595316720317
CHEMBL1871_Ki,18,248,252,molformer,xgboost,0.3079286210865158,0.1781652375402375,0.3202971005602584,0.1928528069153069,0.1578947368421052,-0.0123684794737426,-0.0146875693750693
CHEMBL1871_Ki,18,248,252,morgan,mlp,0.5937761069340016,0.517609126984127,0.4623616109361723,0.3615544129867046,0.1578947368421052,0.1314144959978292,0.1560547139974223
CHEMBL1871_Ki,18,248,252,morgan,xgboost,0.5794644926223874,0.5006140849890849,0.3301134781397939,0.2045097552910052,0.1578947368421052,0.2493510144825935,0.2961043296980796
CHEMBL1871_Ki,18,248,252,unimol,mlp,0.2713254094833042,0.1346989237614237,0.3544005133917414,0.2333506096526929,0.1578947368421052,-0.0830751039084372,-0.0986516858912692
CHEMBL1871_Ki,18,248,252,unimol,xgboost,0.3554214060793008,0.2345629197191697,0.3737754285999899,0.2563583214624881,0.1578947368421052,-0.0183540225206891,-0.0217954017433183
CHEMBL1871_Ki,19,258,271,molformer,mlp,0.5460140388711817,0.4364312206676738,0.4217026359883502,0.2821136170889864,0.1944444444444444,0.1243114028828314,0.1543176035786874
CHEMBL1871_Ki,19,258,271,molformer,xgboost,0.4238705738705738,0.2848048503220916,0.3414224664224664,0.1824554755589237,0.1944444444444444,0.0824481074481074,0.1023493747631678
CHEMBL1871_Ki,19,258,271,morgan,mlp,0.6856301106301106,0.609747723540827,0.4695716981431266,0.3415372804535366,0.1944444444444444,0.2160584124869839,0.2682104430872903
CHEMBL1871_Ki,19,258,271,morgan,xgboost,0.6517588231873945,0.5677006080946967,0.5654950869236582,0.4606145906638517,0.1944444444444444,0.0862637362637362,0.107086017430845
CHEMBL1871_Ki,19,258,271,unimol,mlp,0.3154228047085189,0.1501800334312649,0.4380701309272738,0.3024318866683399,0.1944444444444444,-0.1226473262187548,-0.152251853237075
CHEMBL1871_Ki,19,258,271,unimol,xgboost,0.518845572417001,0.4027048485176563,0.5258286686858115,0.4113735197479038,0.1944444444444444,-0.0069830962688104,-0.0086686712302474
CHEMBL1871_Ki,25,408,409,molformer,mlp,0.1040616246498599,0.0278115501519756,0.1332282913165266,0.0594604863221884,0.0784313725490196,-0.0291666666666666,-0.0316489361702127
CHEMBL1871_Ki,25,408,409,molformer,xgboost,0.0985060690943043,0.0217831813576494,0.0978116246498599,0.0210296352583586,0.0784313725490196,0.0006944444444444,0.0007535460992907
CHEMBL1871_Ki,25,408,409,morgan,mlp,0.1228116246498599,0.0481572948328267,0.0972494553376906,0.0204196217494089,0.0784313725490196,0.0255621693121693,0.0277376730834177
CHEMBL1871_Ki,25,408,409,morgan,xgboost,0.1699346405228758,0.0992907801418438,0.0838001867413632,0.0058257345491387,0.0784313725490196,0.0861344537815125,0.093465045592705
CHEMBL1871_Ki,25,408,409,unimol,mlp,0.0903050108932461,0.0128841607565011,0.090233785822021,0.0128068739770867,0.0784313725490196,7.122507122503396e-05,7.728677941439867e-05
CHEMBL1871_Ki,25,408,409,unimol,xgboost,0.0893790849673202,0.0118794326241134,0.1290616246498599,0.0549392097264437,0.0784313725490196,-0.0396825396825396,-0.0430597771023303
CHEMBL1871_Ki,35,574,576,molformer,mlp,0.2747318414353305,-0.0008700588192438,0.300929530334484,0.0352827518615879,0.2753623188405797,-0.0261976888991535,-0.0361528106808318
CHEMBL1871_Ki,35,574,576,molformer,xgboost,0.3287718342894005,0.0737051313193727,0.2907346978890138,0.021213883086839,0.2753623188405797,0.0380371364003867,0.0524912482325336
CHEMBL1871_Ki,35,574,576,morgan,mlp,0.2407888826968253,-0.0477113418783809,0.3002376179420709,0.0343279127600578,0.2753623188405797,-0.0594487352452454,-0.0820392546384387
