dataset,representation,predictor,seed,pairs,exact_zero_ties,tie_fraction,strict_direction_accuracy,non_tie_direction_accuracy,sign_flipped_strict_accuracy,median_absolute_predicted_delta
CHEMBL228_Ki,molformer,xgboost,11,31,17,0.5483870967741935,0.2903225806451613,0.6428571428571429,0.16129032258064516,0.0
CHEMBL228_Ki,molformer,xgboost,23,31,11,0.3548387096774194,0.2903225806451613,0.45,0.3548387096774194,0.0333524942398071
CHEMBL228_Ki,molformer,xgboost,42,31,0,0.0,0.1935483870967742,0.1935483870967742,0.8064516129032258,0.0705225467681884
CHEMBL228_Ki,morgan,mlp,11,31,0,0.0,0.5161290322580645,0.5161290322580645,0.4838709677419355,0.0916318893432617
CHEMBL228_Ki,morgan,mlp,23,31,0,0.0,0.4838709677419355,0.4838709677419355,0.5161290322580645,0.1160334348678588
CHEMBL228_Ki,morgan,mlp,42,31,0,0.0,0.41935483870967744,0.41935483870967744,0.5806451612903226,0.0997445583343505
CHEMBL228_Ki,morgan,xgboost,11,31,21,0.6774193548387096,0.16129032258064516,0.5,0.16129032258064516,0.0
CHEMBL228_Ki,morgan,xgboost,23,31,30,0.967741935483871,0.03225806451612903,1.0,0.0,0.0
CHEMBL228_Ki,morgan,xgboost,42,31,21,0.6774193548387096,0.1935483870967742,0.6,0.12903225806451613,0.0
CHEMBL228_Ki,unimol,mlp,11,31,0,0.0,0.4838709677419355,0.4838709677419355,0.5161290322580645,0.087420105934143
CHEMBL228_Ki,unimol,mlp,23,31,0,0.0,0.41935483870967744,0.41935483870967744,0.5806451612903226,0.1663517951965332
CHEMBL228_Ki,unimol,mlp,42,31,0,0.0,0.7096774193548387,0.7096774193548387,0.2903225806451613,0.0720453262329101
CHEMBL228_Ki,unimol,xgboost,11,31,0,0.0,0.5483870967741935,0.5483870967741935,0.45161290322580644,0.0448920726776123
CHEMBL228_Ki,unimol,xgboost,23,31,1,0.03225806451612903,0.45161290322580644,0.4666666666666667,0.5161290322580645,0.03920578956604
CHEMBL228_Ki,unimol,xgboost,42,31,1,0.03225806451612903,0.5161290322580645,0.5333333333333333,0.45161290322580644,0.0573214292526245
CHEMBL231_Ki,molformer,mlp,11,15,0,0.0,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.1076643466949462
CHEMBL231_Ki,molformer,mlp,23,15,0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.1567862033843994
CHEMBL231_Ki,molformer,mlp,42,15,0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0630989074707031
CHEMBL231_Ki,molformer,xgboost,11,15,0,0.0,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.0706548690795898
CHEMBL231_Ki,molformer,xgboost,23,15,0,0.0,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.3203468322753906
CHEMBL231_Ki,molformer,xgboost,42,15,0,0.0,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.1924452781677246
CHEMBL231_Ki,morgan,mlp,11,15,0,0.0,0.4,0.4,0.6,0.0883851051330566
CHEMBL231_Ki,morgan,mlp,23,15,0,0.0,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.101672887802124
CHEMBL231_Ki,morgan,mlp,42,15,0,0.0,0.8,0.8,0.2,0.0493433475494384
CHEMBL231_Ki,morgan,xgboost,11,15,1,0.06666666666666667,0.3333333333333333,0.35714285714285715,0.6,0.0988122224807739
CHEMBL231_Ki,morgan,xgboost,23,15,0,0.0,0.4,0.4,0.6,0.1884584426879882
CHEMBL231_Ki,morgan,xgboost,42,15,2,0.13333333333333333,0.6,0.6923076923076923,0.26666666666666666,0.1242151260375976
CHEMBL231_Ki,unimol,mlp,11,15,0,0.0,0.6,0.6,0.4,0.0751523971557617
CHEMBL231_Ki,unimol,mlp,23,15,0,0.0,0.4,0.4,0.6,0.0588605403900146
CHEMBL231_Ki,unimol,mlp,42,15,0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4428799152374267
CHEMBL231_Ki,unimol,xgboost,11,15,6,0.4,0.2,0.3333333333333333,0.4,0.0151386260986328
CHEMBL231_Ki,unimol,xgboost,23,15,0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0766971111297607
CHEMBL231_Ki,unimol,xgboost,42,15,5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.025038719177246
CHEMBL233_Ki,molformer,mlp,11,46,0,0.0,0.4782608695652174,0.4782608695652174,0.5217391304347826,0.0456854104995727
CHEMBL233_Ki,molformer,mlp,23,46,0,0.0,0.391304347826087,0.391304347826087,0.6086956521739131,0.07039558887481685
CHEMBL233_Ki,molformer,mlp,42,46,0,0.0,0.32608695652173914,0.32608695652173914,0.6739130434782609,0.04104244709014885
CHEMBL233_Ki,molformer,xgboost,11,46,0,0.0,0.41304347826086957,0.41304347826086957,0.5869565217391305,0.06936675310134885
CHEMBL233_Ki,molformer,xgboost,23,46,21,0.45652173913043476,0.34782608695652173,0.64,0.1956521739130435,0.01143980026245115
CHEMBL233_Ki,molformer,xgboost,42,46,0,0.0,0.5217391304347826,0.5217391304347826,0.4782608695652174,0.0484739542007446
CHEMBL233_Ki,morgan,mlp,11,46,0,0.0,0.6956521739130435,0.6956521739130435,0.30434782608695654,0.09889703989028925
CHEMBL233_Ki,morgan,mlp,23,46,0,0.0,0.5,0.5,0.5,0.09542673826217646
CHEMBL233_Ki,morgan,mlp,42,46,0,0.0,0.4782608695652174,0.4782608695652174,0.5217391304347826,0.10672241449356075
CHEMBL233_Ki,morgan,xgboost,11,46,30,0.6521739130434783,0.17391304347826086,0.5,0.17391304347826086,0.0
CHEMBL233_Ki,morgan,xgboost,23,46,9,0.1956521739130435,0.41304347826086957,0.5135135135135135,0.391304347826087,0.048712968826293904
CHEMBL233_Ki,morgan,xgboost,42,46,17,0.3695652173913043,0.30434782608695654,0.4827586206896552,0.32608695652173914,0.0122947692871093
CHEMBL233_Ki,unimol,mlp,11,46,0,0.0,0.5217391304347826,0.5217391304347826,0.4782608695652174,0.12788683176040644
CHEMBL233_Ki,unimol,mlp,23,46,0,0.0,0.43478260869565216,0.43478260869565216,0.5652173913043478,0.1042978167533874
CHEMBL233_Ki,unimol,mlp,42,46,0,0.0,0.5652173913043478,0.5652173913043478,0.43478260869565216,0.1084867119789123
CHEMBL233_Ki,unimol,xgboost,11,46,19,0.41304347826086957,0.2608695652173913,0.4444444444444444,0.32608695652173914,0.0116565227508544
CHEMBL233_Ki,unimol,xgboost,23,46,0,0.0,0.4782608695652174,0.4782608695652174,0.5217391304347826,0.039810299873351995
CHEMBL233_Ki,unimol,xgboost,42,46,4,0.08695652173913043,0.5,0.5476190476190477,0.41304347826086957,0.035619199275970403
CHEMBL236_Ki,molformer,mlp,11,37,0,0.0,0.5135135135135135,0.5135135135135135,0.4864864864864865,0.0523982048034668
CHEMBL236_Ki,molformer,mlp,23,37,0,0.0,0.5945945945945946,0.5945945945945946,0.40540540540540543,0.0522558689117431
CHEMBL236_Ki,molformer,mlp,42,37,0,0.0,0.43243243243243246,0.43243243243243246,0.5675675675675675,0.0373477935791015
CHEMBL236_Ki,molformer,xgboost,11,37,11,0.2972972972972973,0.32432432432432434,0.46153846153846156,0.3783783783783784,0.0117413997650146
CHEMBL236_Ki,molformer,xgboost,23,37,1,0.02702702702702703,0.43243243243243246,0.4444444444444444,0.5405405405405406,0.1127403974533081
CHEMBL236_Ki,molformer,xgboost,42,37,4,0.10810810810810811,0.4864864864864865,0.5454545454545454,0.40540540540540543,0.0341806411743164
CHEMBL236_Ki,morgan,mlp,11,37,0,0.0,0.3783783783783784,0.3783783783783784,0.6216216216216216,0.0972654819488525
CHEMBL236_Ki,morgan,mlp,23,37,0,0.0,0.4864864864864865,0.4864864864864865,0.5135135135135135,0.0911097526550293
CHEMBL236_Ki,morgan,mlp,42,37,0,0.0,0.5135135135135135,0.5135135135135135,0.4864864864864865,0.0776690244674682
CHEMBL236_Ki,morgan,xgboost,11,37,36,0.972972972972973,0.02702702702702703,1.0,0.0,0.0
CHEMBL236_Ki,morgan,xgboost,23,37,20,0.5405405405405406,0.1891891891891892,0.4117647058823529,0.2702702702702703,0.0
CHEMBL236_Ki,morgan,xgboost,42,37,5,0.13513513513513514,0.4594594594594595,0.53125,0.40540540540540543,0.0533628463745117
CHEMBL236_Ki,unimol,mlp,11,37,0,0.0,0.6756756756756757,0.6756756756756757,0.32432432432432434,0.0902695655822753
CHEMBL236_Ki,unimol,mlp,23,37,0,0.0,0.5135135135135135,0.5135135135135135,0.4864864864864865,0.0974770784378051
CHEMBL236_Ki,unimol,mlp,42,37,0,0.0,0.6486486486486487,0.6486486486486487,0.35135135135135137,0.1368944644927978
CHEMBL236_Ki,unimol,xgboost,11,37,0,0.0,0.5675675675675675,0.5675675675675675,0.43243243243243246,0.0821762084960937
CHEMBL236_Ki,unimol,xgboost,23,37,13,0.35135135135135137,0.24324324324324326,0.375,0.40540540540540543,0.0149610042572021
CHEMBL236_Ki,unimol,xgboost,42,37,0,0.0,0.4864864864864865,0.4864864864864865,0.5135135135135135,0.1735981702804565
CHEMBL237_EC50,molformer,mlp,11,18,0,0.0,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.0646770000457763
CHEMBL237_EC50,molformer,mlp,23,18,0,0.0,0.7222222222222222,0.7222222222222222,0.2777777777777778,0.06299501657485959
CHEMBL237_EC50,molformer,mlp,42,18,0,0.0,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.0585101246833801
CHEMBL237_EC50,molformer,xgboost,11,18,2,0.1111111111111111,0.5,0.5625,0.3888888888888889,0.059047460556030204
