draw,alternative_full_delta_nap,alternative_paired_delta_nap,original_paired_delta_nap,paired_primary_estimate_change,paired_selection_change
114,-0.008650172279696645,-0.003459674645710351,-0.003459674645710351,0.0,0.0
115,-0.015429961490833855,-0.008883991255691875,-0.0004353047473756996,-0.008448686508316174,0.0
116,-0.003816800961545126,0.0,-0.0024628252865983255,0.0024628252865983255,0.0
117,-0.0035868792049639753,-0.00623589779746558,-0.01652821525354981,0.010292317456084228,0.0
118,0.0,-0.010462283116888148,-0.009409857535714761,-0.0010524255811733864,0.0
119,-0.0023132877027608736,-0.0014760576227202012,-0.0021595843431936514,0.0006835267204734503,0.0
120,-0.024294376509127993,0.0,0.0005208422725339994,-0.0005208422725339994,0.0
121,-0.007640308543513949,0.0,0.0,0.0,0.0
122,-0.015945543230190328,0.0023994468362967757,-0.000993327417159854,0.0033927742534566297,0.0
123,-0.007461004431932749,-0.003464602963380026,-0.006206987407722823,0.002742384444342797,0.0
124,0.0009012127578304011,-0.0061353167832698535,0.00222889269200745,-0.008364209475277305,0.0
125,-0.009320523034604799,-0.006276486487652383,-0.006692354048183624,0.00041586756053124067,0.0
126,0.00018429487179487565,-0.008886865307744626,-0.006774166278359396,-0.0021126990293852295,0.0
127,-0.00818487317071985,-0.012852938076886804,-0.006877209309951924,-0.00597572876693488,0.0
128,-0.01884947346840313,-0.004982888980404486,-0.0049895033133999745,6.614332995488227e-06,0.0
129,0.001622059564942352,-0.00033585104169409996,0.0,-0.00033585104169409996,0.0
130,-0.0034869423867260746,-0.004646486940479701,-0.008146114894325526,0.003499627953845825,0.0
131,0.0,-0.05807656962381284,-0.015533108612878429,-0.04254346101093441,0.0
132,-0.0043218061223663975,-4.669234291677536e-05,0.0,-4.669234291677536e-05,0.0
133,-0.01536416109651958,-0.00271335009839515,-3.537931927235019e-05,-0.0026779707791227997,0.0
134,0.0,-0.0024016064299239768,-0.0025868236076107497,0.00018521717768677295,0.0
135,-3.9143591708975384e-05,-0.0020048606168008728,-0.0025270988276805246,0.0005222382108796518,0.0
136,-0.004094937454555846,-0.0013780372660030502,-0.0012277131541643012,-0.00015032411183874906,0.0
137,0.0,0.0003556303225299238,-0.0004298822629632002,0.000785512585493124,0.0
138,-0.0075057580154277255,0.0,0.0,0.0,0.0
139,0.00393543333362493,-0.00028960622710620144,-0.0013034780729289028,0.0010138718458227013,0.0
140,-0.0037492808728165523,-0.00017157807113553619,-0.0017756244429684512,0.001604046371832915,0.0
141,0.0,4.996003610813204e-16,-0.0036244872892016,0.0036244872892021,0.0
142,-0.0008786694636095475,-0.0020538214795222795,-0.0015058979353858998,-0.0005479235441363797,0.0
143,-0.016622549142981873,0.0,0.0,0.0,0.0
144,-0.001787963605764574,-0.0012141753753008985,-0.012262092867523802,0.011047917492222902,0.0
145,0.0,0.001019546548737251,-0.0012071329748716514,0.0022266795236089024,0.0
146,0.0013851587545992451,0.0,0.0,0.0,0.0
147,-0.01265649008226256,-0.003559082993797426,-0.004457123431377276,0.0008980404375798501,0.0
148,-0.011484287434010277,-0.007001626367250055,-0.004352394029909286,-0.0026492323373407695,0.0
149,-0.0002584174497185758,-0.005350566860650276,-0.00686881459111848,0.0015182477304682036,0.0
150,-0.0052468947378628995,-0.0037447680753303946,-0.003444192165773489,-0.00030057590955690546,0.0
151,-0.012311511131285974,-0.0008271868264895753,-0.005193090871422125,0.004365904044932549,0.0
152,-0.00307645323221192,-0.0017579184736690985,-0.01501475606786745,0.01325683759419835,0.0
153,-0.005528110829637551,-0.00394605494884465,-0.010338030237884325,0.006391975289039675,0.0
154,-0.013212832074622153,-0.0005428184219154475,-0.0027632203850194476,0.002220401963104,0.0
155,-0.025331546766444873,-0.003662545564433249,-0.019010924400256896,0.015348378835823646,0.0
156,-0.0003849863115978,0.0124627377493571,0.014450314508846401,-0.001987576759489301,0.0
157,0.0003601558178130005,-0.007595242723631152,-0.00496075414950985,-0.0026344885741213016,0.0
158,-0.014866509548962953,-0.001923688148382197,-0.00010188304980025039,-0.0018218050985819466,0.0
159,0.0045216486042506665,0.0006677830701158505,-0.00033585104169409996,0.0010036341118099504,0.0
160,-0.0004863803031342987,2.6905551372824812e-05,-0.000614482931678663,0.0006413884830514878,0.0
161,0.0,-0.006442491047026995,-0.011915300540972406,0.005472809493945411,0.0
162,0.010344031107130808,0.0020257455146205283,-0.006375903081714325,0.008401648596334854,0.0
163,-0.01031985783866791,-0.0004675613582098004,-0.004365029454764377,0.0038974680965545763,0.0
164,0.0,-0.004082848990079853,-0.006206384392950574,0.0021235354028707205,0.0
165,0.001019546548737251,-0.007479893162625173,-0.005280162104283023,-0.0021997310583421505,0.0
166,-0.002217031461278525,-0.005203590900860203,-0.0033536318137967584,-0.001849959087063445,0.0
167,-0.010555410118657103,-0.0007420079986052742,-0.0007271024351769503,-1.4905563428323915e-05,0.0
168,-0.005513874624702802,0.0,0.0,0.0,0.0
169,-0.0007379420752938264,-0.0011735821687081003,-0.00183460017303175,0.0006610180043236497,0.0
170,-0.015679558229899998,-0.006679445861261647,-0.007322189841250345,0.0006427439799886981,0.0
171,-0.00028960622710620144,-0.003858147093027279,-0.005712206407584975,0.0018540593145576962,0.0
172,0.0,-0.010582671681288326,-0.011427221164891902,0.0008445494836035756,0.0
173,0.0,-0.0020812937128910245,-0.006188874391870295,0.004107580678979271,0.0
