draw,target_balanced_median_delta_nap
358,-0.0013656359347035
359,-0.0008050265767958979
360,-0.003595465774663978
361,-0.0045334492594936
362,-0.009600937829624626
363,-0.0032119782475281498
364,0.0
365,-0.0006574383649238739
366,-0.006667050100022437
367,-0.0072145443369489035
368,0.0
369,-0.0035448299066339036
370,-0.0017387828203046024
371,-0.0007573213383988264
372,-0.00016654736770388767
373,-0.005120279034474029
374,-0.0035829791029553704
375,-0.0009201588840850256
376,-0.015865760226503
377,-0.0012714829943448504
378,0.0
379,0.0
380,-0.00152266333646345
381,-0.016623858670004273
382,-0.016570048813893675
383,0.0
384,0.0
385,0.0
386,-0.012650010990327152
387,-0.03206984055595649
388,0.0
389,-0.006067923082611534
390,-0.010282017455579717
391,-0.00670636162650866
392,-0.008023962997274751
393,-0.003816800961545126
394,-0.012306891088111328
395,0.0
396,-0.004952014503009826
397,0.0015156590135449268
398,-0.007168345788608551
399,0.0011513553403836745
400,-0.006843612338881897
401,-0.0241704402251393
402,-0.0023398684275464047
403,-0.006287410785313877
404,-0.0030303327956546474
405,0.012351172040142577
406,-0.005364074634641249
407,-0.0018951303083446997
408,-0.013164182873457069
409,-0.004928327536762074
410,-0.009582999630019674
411,0.0036217468184274126
412,-0.00324254240288879
413,0.0
414,-0.0004684699364510495
415,-0.011837172320536427
416,-0.012512032203456157
417,-0.004010945893339949
418,-0.0016750274468123267
419,-0.00874603105469455
420,-0.016978942059126072
421,0.0
422,0.0
423,-0.0020999492814398014
424,-0.0010571011048740747
425,-0.0044996253801007505
426,-0.006945718892542983
427,-0.006351088232245799
428,-0.010349832344474477
429,0.0
430,-0.00527456221522105
431,-0.0018502168395434992
432,-0.00013584475928586246
433,-0.0066209566900791725
434,-0.0004684699364510495
435,-0.012841988568316275
436,-0.004258468637815399
437,-0.020266066342458148
438,-0.0008161172809361748
439,-0.010605993456532176
440,-0.0035429835671889017
441,-0.0035743609320956736
442,-0.0094470548186641
443,-0.023705009227227472
444,-0.00416377433840665
445,-0.016682432564859705
446,-0.0319571283531601
447,-0.0013954141498896508
448,-0.026007491073683924
449,-0.0206598187837218
450,-0.004208700947906577
451,-0.0006494954526311001
452,-0.00132152994895335
453,-0.0005877742946707974
454,0.0067196451315444
455,-0.0011515051885006566
456,-0.024912657602465228
457,-0.0032789390856116027
458,-0.017165250611451504
459,-0.008430143469595652
460,-0.0169196430697551
461,-0.010805515170943405
462,-0.0156934400785673
463,-0.005960607106065952
464,-0.003058883146700345
465,-0.005142456396663777
466,-0.011948795913352
467,-0.006438049125808829
468,0.0
469,-0.00828099101906992
470,-0.039229597798908555
471,-0.0221081328483353
472,-0.009511917697566288
473,0.004633332293149322
474,-0.006163049811374796
475,-0.019097006570682876
476,-0.004431830416309501
477,0.0
478,0.0002854022303844252
479,-0.0023572055321349253
480,-0.00033585104169409996
481,-0.009835809255051339
482,-0.004010945893339949
483,-0.0059399212673585736
484,-0.019397633859242272
485,0.0022742876149776502
486,-0.025002104508170024
487,-0.0011107878768144
488,-0.0004684699364510495
489,-0.004541750720477501
490,-0.004914739171808397
491,0.00021168083635035063
492,-0.0017334162257117737
493,-0.007179288739819227
494,-0.005732978681122158
495,-0.0021634984528481546
496,-0.005772468258914252
497,-0.003526680722315755
498,-0.001245999543899375
499,-0.0029558266310983905
500,-0.0056230290242049955
501,-0.015088042012962752
502,-0.00010910071330642477
503,-0.00986308918829215
504,-0.006442894951147903
505,-0.000936939872902099
506,-0.005142778331037379
507,-0.0034724767087623764
508,-0.010852096015932754
509,0.0
510,-0.0015460205151649246
511,-0.003816800961545126
512,0.0
513,0.0
514,-0.0036829276671713996
515,0.0
516,-0.005178722108285602
517,-0.0037557570210117993
518,-0.017506011969736612
